x,lower_free_pressure,upper_free_pressure,required_drop_density,optimistic_temporal_allowance,positive_acceleration
-1.6671875000000003,0.0,0.000771643549921491,0.03296023726184199,1.1545452139790772e-33,True
-1.6640625,0.0,0.0007820342577539888,0.032828803520784815,1.5895824980473905e-33,True
-1.6609375000000002,0.0,0.0007935845019625538,0.03284353133541583,1.866734910167136e-33,True
-1.6578125,0.0,0.0008062744013509831,0.03272817606623019,1.8813515709104134e-33,True
-1.6546875,0.0,0.0008188204376120875,0.032488074008850946,1.5176866208831522e-33,True
-1.6515625000000003,0.0,0.0008312256511653644,0.03237101093518924,6.563209562081923e-34,True
-1.6484375,0.0,0.0008421373318386885,0.03239926809060145,8.168978705263148e-34,True
-1.6453125000000002,0.0,0.000851581584917416,0.032282340216964724,2.7778864689236436e-33,True
-1.6421875,0.0,0.0008609242263468758,0.032045051021993766,4.8611049270677117e-33,True
-1.6390625,0.0,0.0008701675108308812,0.03192768828167977,6.673068920950485e-33,True
-1.6359375000000003,0.0,0.000877429481940085,0.03195634169234766,7.78496326679176e-33,True
-1.6328125,0.0,0.0008827436583018684,0.0318499652955904,7.76722366698353e-33,True
-1.6296875000000002,0.0,0.0008880061527151658,0.03162798809874668,6.205011457503717e-33,True
-1.6265625,0.0,0.0008932183040901676,0.03152216463444076,2.6581349023389102e-33,True
-1.6234375,0.0,0.000894145468633167,0.031540197572768415,3.2681637200737416e-33,True
-1.6203125000000003,0.0,0.0008908574533827882,0.03141100784557449,1.094701633077138e-32,True
-1.6171875,0.0,0.0008876129088269783,0.03117108027034679,1.8891224783383078e-32,True
-1.6140625000000002,0.0,0.0008844114068929059,0.031044981253303825,2.558392801736391e-32,True
-1.6109375,0.0,0.0008744684992955597,0.03102011055052843,2.9291177765310904e-32,True
-1.6078125,0.0,0.000857890402054322,0.030834587944969506,2.8524366703159197e-32,True
-1.6046875000000003,0.0,0.0008414940671391152,0.03054382250462582,2.224076662100226e-32,True
-1.6015625,0.0,0.0008252764777681664,0.030364587971823398,9.298760121547951e-33,True
-1.5984375000000002,0.0,0.0008063235911725054,0.030334313755261848,1.117025955069693e-32,True
-1.5953125,0.0,0.0007846769206694517,0.030200248415634345,3.658594056146586e-32,True
-1.5921875,0.0,0.0007632585534230187,0.029965933344452078,6.16551817379445e-32,True
-1.5890625,0.0,0.0007420645671909069,0.029839462625471054,8.1491721573247e-32,True
-1.5859375,0.0,0.0007184218341644844,0.02985231204883115,9.137653820337935e-32,True
-1.5828125000000002,0.0,0.0006923660955375793,0.029758835748909567,8.743627726886875e-32,True
-1.5796875,0.0,0.0006665752367302121,0.02956726295577586,6.693657100854944e-32,True
-1.5765625,0.0,0.0006410446029659321,0.029482082855228884,2.745443611382729e-32,True
-1.5734375,0.0,0.0006126436255890633,0.02951502255651357,3.22795847483119e-32,True
-1.5703125,0.0,0.0005814126966366955,0.029424880756306882,1.0319211686164042e-31,True
-1.5671875000000002,0.0,0.0005504873895794964,0.029238989645733782,1.6944867956464834e-31,True
-1.5640625,0.0,0.0005198622202286299,0.02915826729706392,2.178232148736504e-31,True
-1.5609375,0.0,0.00048754541144101205,0.0291929346873476,2.369826756950629e-31,True
-1.5578125,0.0,0.0004535592971681846,0.0291066222672576,2.193482814695644e-31,True
-1.5546875,0.0,0.00041989365913435285,0.028927217052194115,1.6188381683085268e-31,True
-1.5515625000000002,0.0,0.0003865426583180354,0.02885054941105395,6.375880345382136e-32,True
