case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega
prior_thermal_n64,0.0,10,0.15625,-1.85,-1.0259201415689735e-10,0.8784015055593142,0.003399268227227603,0.0033796584162958973,0.0,0.0,5.0833698975335205e-08,1.1087595311852234e-07,0.004935758484661719,-0.005254446652765733,-1.7888641492039334e-05,0.00040738086519760485,0.00630368077115158,-0.0025586045181485062,-3.842149159667513e-13,0.0,-0.0003613926532464115,-0.00031290844609892666,-2.2791093840750823e-05,0.0014981517501384684,-0.0010065296332434498,-0.0023829336885183004,4.902452732926406e-06,-0.0010907708849408634
prior_thermal_n64,0.0,11,0.171875,-1.8250000000000002,-2.2212562755501428e-10,0.9926193411224576,0.003137861742179421,0.0031145166639599126,0.0,0.0,4.724820417046803e-08,1.51799591714772e-07,0.0050305208410209995,-0.005270972423623562,-1.4134620536244917e-05,0.00029049020685782245,0.006082481144791215,-0.002586782907286398,-7.764841647487151e-13,0.0,-0.00032614489290730853,-0.00028381572413040465,-1.9970889314637773e-05,0.001369434972785143,-0.0007258154108629074,-0.0024003737922067593,5.836269554877022e-06,-0.0010789447659273203
prior_thermal_n64,0.0,12,0.1875,-1.8,-4.4195761128179773e-10,1.132647606921195,0.0029485223172254767,0.002924871299355354,0.0,0.0,4.0979074010483955e-08,1.614144289918706e-07,0.005115940808593638,-0.005297304400671625,-1.116525738577696e-05,0.00020755181087607938,0.005914011405735271,-0.0026151306814687194,-1.4579654448004124e-12,0.0,-0.0002897863606429758,-0.0002537611474111484,-1.707801039534216e-05,0.0012357437730702338,-0.0005082842364986578,-0.0024284125717917576,5.912754467530646e-06,-0.0010281919621941543
prior_thermal_n64,0.0,13,0.203125,-1.7750000000000001,-8.417694595622283e-10,1.2995446623935185,0.0028153725455886407,0.002793991108588531,0.0,0.0,3.384236974638961e-08,1.527275822950933e-07,0.005194505715049918,-0.005331409430103398,-8.826342243638477e-06,0.00014907227070471232,0.005787662448439181,-0.00264371800012818,-2.6464764191484187e-12,0.0,-0.00025293800687783264,-0.0002232283293980614,-1.4171698847189585e-05,0.0010987693532416608,-0.0003402187265114298,-0.002464463100577156,5.345359250027527e-06,-0.0009496970825369485
prior_thermal_n64,0.0,14,0.21875,-1.75,-1.5619001406354045e-09,1.4711026799960718,0.0026965432960812377,0.0026792967249954372,0.0,0.0,2.6930403808822414e-08,1.3460235267863645e-07,0.005268140855280507,-0.005371675311497343,-6.989376053648017e-06,0.00010802267153342798,0.005665763295627185,-0.0026725993849760223,-4.675023132990868e-12,0.0,-0.00021613516308023844,-0.00019264319324942237,-1.1301014150075086e-05,0.0009601697475732611,-0.00018148727726643912,-0.0025064327332718983,4.311642771450202e-06,-0.0008521470760398331
prior_thermal_n64,0.0,15,0.234375,-1.725,-2.8471643320616906e-09,1.6066077724978434,0.0025455177955508194,0.002533664263033297,0.0,0.0,2.0816806594098802e-08,1.1276206674930593e-07,0.005338319587273901,-0.005416842437900631,-5.549095065081052e-06,7.9272935622738e-05,0.005505194184417391,-0.002701817010223669,-7.981675499680255e-12,0.0,-0.00017989175597953904,-0.00016241723954885475,-8.512470212786192e-06,0.0008215946983453563,1.3017158836049064e-05,-0.0025526081881281073,2.96338312938064e-06,-0.0007423217627226184
prior_thermal_n64,0.0,16,0.25,-1.7000000000000002,-5.120588391003046e-09,1.6587650013294049,0.0023292797338622905,0.002323551300051979,0.0,0.0,1.5729596204495683e-08,9.06707557479222e-08,0.005406158705696318,-0.0054659387661892935,-4.420485519943504e-06,5.912757555955629e-05,0.005275722490346167,-0.0027314033526969475,-1.3028411039253479e-11,0.0,-0.00014472171230507964,-0.00013296196887998098,-5.852580944110363e-06,0.0006846939478382644,0.00027515792765523024,-0.002601573444612365,1.4321084525778984e-06,-0.0006255663722787081
prior_thermal_n64,0.0,17,0.265625,-1.675,-9.10617394058674e-09,1.6005519994779065,0.0020487636920828787,0.0020494528467774604,0.0,0.0,1.1685497163898802e-08,7.024534790929754e-08,0.005472498057671539,-0.005518221667724671,-3.535687544851803e-06,4.495601229868615e-05,0.004980525920684631,-0.0027613832806310016,-2.0207898879301223e-11,0.0,-0.00011109878940597808,-0.00010465919127061465,-3.3633786633074836e-06,0.0005510406841089129,0.000603070926392885,-0.0026521791958230546,-1.722886736454403e-07,-0.0005060846718102268
prior_thermal_n64,0.0,18,0.28125,-1.6500000000000001,-1.6031072462361884e-08,1.4780057334333772,0.001765710109509454,0.0017727982974296925,0.0,0.0,8.586497555528939e-09,5.239540229516024e-08,0.00553796511703101,-0.005573128218430285,-2.8410466295369952e-06,3.490573650589012e-05,0.004682974793398643,-0.0027917756696925686,-3.031795019288737e-11,0.0,-7.93360671104438e-05,-7.777195452533276e-05,-1.0689693315272027e-06,0.0004219018783206639,0.0009343263907428106,-0.002703580594212384,-1.7720469800595997e-06,-0.00038699614181477376
prior_thermal_n64,0.0,19,0.296875,-1.625,-2.7954829197292274e-08,1.5610069783904623,0.0016796943650870945,0.0016929160956652496,0.0,0.0,6.635772587665345e-09,3.7411025573914295e-08,0.005603026169953192,-0.00563023413478169,-2.2944592028146914e-06,2.7684719169775992e-05,0.00458393197029328,-0.0028225946329862453,-4.923788442323168e-11,0.0,-4.9706455866457974e-05,-5.2533615892902304e-05,1.0110226796084868e-06,0.00029846794741348486,0.0010688006555263701,-0.002755105885902542,-3.305432644538755e-06,-0.0002707832282437089
