design,s,type_iv,samples_with_type_iv,unresolved,worst_envelope_ratio
sheath_e0p5,-3.6,0,0,0,1.7694191025379586e-10
sheath_e0p5,-3.4,0,0,0,3.247604555313644e-09
sheath_e0p5,-3.2,0,0,0,4.515025702535823e-08
sheath_e0p5,-3.0,0,0,0,8.899648953410899e-07
sheath_e0p5,-2.8,0,0,0,0.002448510774372245
sheath_e0p5,-2.6,0,0,0,0.024685274510308382
sheath_e0p5,-2.4,0,0,0,0.0644089303036412
sheath_e0p5,-2.2,0,0,0,0.1005405319258892
sheath_e0p5,-2.0,0,0,0,0.11826535285719027
sheath_e0p5,-1.8,0,0,0,0.1432530149886266
sheath_e0p5,-1.6,0,0,0,0.168954104379085
sheath_e0p5,-1.4,0,0,0,0.19030156457592565
sheath_e0p5,-1.2,0,0,0,0.43966339104832114
sheath_e0p5,-1.0,0,0,0,0.5338579498090713
sheath_e0p5,-0.8,0,0,0,0.5462651582810104
sheath_e0p5,-0.6,0,0,0,0.5362615892468107
sheath_e0p5,-0.4,0,0,0,0.4950758019119446
sheath_e0p5,-0.2,0,0,0,0.39426862488472014
sheath_e0p5,0.0,0,0,0,0.2803736064838191
sheath_e0p5,0.2,0,0,0,0.2803018062217913
sheath_e0p5,0.4,0,0,0,0.20487592187007916
sheath_e0p5,0.6,0,0,0,0.10835361563095883
sheath_e0p5,0.8,0,0,0,0.07131928540823532
sheath_e0p5,1.0,0,0,0,0.028852777056657716
sheath_e0p5,1.2,0,0,0,0.00344253556824934
sheath_e0p5,1.4,0,0,0,0.0
sheath_e0p5,1.6,0,0,0,0.0
sheath_e0p5,1.8,0,0,0,0.0
sheath_e0p5,2.0,0,0,0,0.0
sheath_e0p5,2.2,0,0,0,0.0
sheath_e0p5,2.4,0,0,0,0.0
sheath_e0p5,2.6,0,0,0,0.0
sheath_e0p5,2.8,0,0,0,0.0
sheath_e0p5,3.0,0,0,0,0.0
no_sheath,-8.0,0,0,0,3.320792352117615e-79
no_sheath,-7.8,0,0,0,1.9968887443065326e-73
no_sheath,-7.6,0,0,0,2.101192489234334e-68
no_sheath,-7.4,0,0,0,7.929840743520302e-65
no_sheath,-7.2,0,0,0,3.265780278918206e-61
no_sheath,-7.0,0,0,0,5.7302602136811615e-58
no_sheath,-6.8,0,0,0,1.741956100249286e-54
no_sheath,-6.6,0,0,0,7.167580013230499e-51
no_sheath,-6.4,0,0,0,2.208366843571107e-47
no_sheath,-6.2,0,0,0,5.207949161819445e-44
no_sheath,-6.0,0,0,0,9.619245623978398e-41
no_sheath,-5.8,0,0,0,1.4119349433414829e-37
no_sheath,-5.6,0,0,0,1.5892693032689628e-34
no_sheath,-5.4,0,0,0,1.3706629956464514e-31
no_sheath,-5.2,0,0,0,9.048109181075217e-29
no_sheath,-5.0,0,0,0,4.6759450547990124e-26
no_sheath,-4.8,0,0,0,1.9184101410646493e-23
no_sheath,-4.6,0,0,0,6.033588982374094e-21
no_sheath,-4.4,0,0,0,1.45331197723589e-18
no_sheath,-4.2,0,0,0,2.6774948944925233e-16
no_sheath,-4.0,0,0,0,3.765652471179298e-14
no_sheath,-3.8,0,0,0,3.964974660731646e-12
no_sheath,-3.6,0,0,0,1.7694191025379586e-10
no_sheath,-3.4,0,0,0,3.247604555313644e-09
no_sheath,-3.2,0,0,0,4.515025702535823e-08
no_sheath,-3.0,0,0,0,8.899648953410899e-07
no_sheath,-2.8,3948,98,1,0.002448510774372245
no_sheath,-2.6,4385,102,2,0.024685274510308382
no_sheath,-2.4,4450,104,0,0.0644089303036412
no_sheath,-2.2,4459,104,1,0.1005405319258892
no_sheath,-2.0,4469,104,0,0.11826535285719027
no_sheath,-1.8,4469,104,0,0.1432530149886266
no_sheath,-1.6,4465,104,0,0.168954104379085
no_sheath,-1.4,4459,104,0,0.19030156457592565
no_sheath,-1.2,4425,106,0,0.43966339104832114
no_sheath,-1.0,4412,106,0,0.5338579498090713
no_sheath,-0.8,4410,106,0,0.5462651582810104
no_sheath,-0.6,4407,106,0,0.5362615892468107
no_sheath,-0.4,4408,106,0,0.4950758019119446
no_sheath,-0.2,4415,106,0,0.39426862488472014
no_sheath,0.0,4427,106,0,0.2803736064838191
no_sheath,0.2,4436,106,0,0.2803018062217913
no_sheath,0.4,4447,106,1,0.20487592187007916
no_sheath,0.6,4461,104,0,0.10835361563095883
no_sheath,0.8,4454,104,0,0.07131928540823532
no_sheath,1.0,4395,103,0,0.028852777056657716
no_sheath,1.2,4046,100,0,0.00344253556824934
no_sheath,1.4,0,0,0,0.0
no_sheath,1.6,0,0,0,0.0
no_sheath,1.8,0,0,0,0.0
no_sheath,2.0,0,0,0,0.0
no_sheath,2.2,0,0,0,0.0
no_sheath,2.4,0,0,0,0.0
no_sheath,2.6,0,0,0,0.0
no_sheath,2.8,0,0,0,0.0
no_sheath,3.0,0,0,0,0.0
