path_kind,moving,duration,time_skew,u,radius,mass_onset_order,predicted_angular_coefficient,angular_residual,scaled_angular_residual,angular_coefficient_ratio,material_density,material_onset_order,predicted_material_coefficient,scaled_material_density,predicted_current_coefficient,current,initial_boundary_enthalpy,roundoff_floor,log_f_onset_coefficient
waypoints,False,14.255,0.65,0.00048828125,6.25,9,0.00024696195686324106,0.0,0.0,0.0,-7.19242866476559e-31,8,-0.00022305327559255748,-0.00022259488559543024,0.00022305327559255748,7.19242866476559e-31,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.0009765625,6.25,9,0.00024696195686324106,0.0,0.0,0.0,-1.8374766344694634e-28,8,-0.00022305327559255748,-0.00022213729463487264,0.00022305327559255748,1.8374766344694634e-28,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.001953125,6.25,9,0.00024696195686324106,0.0,0.0,0.0,-4.6846085892459725e-26,8,-0.00022305327559255748,-0.00022122438587218434,0.00022305327559255748,4.6846085892459725e-26,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.00390625,6.25,9,0.00024696195686324106,0.0,0.0,0.0,-1.1894129638698829e-23,8,-0.00022305327559255748,-0.00021940796542460075,0.00022305327559255748,1.1894129638698829e-23,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.0078125,6.25,9,0.00024696195686324106,4.2012834183813297e-19,0.00023651123046875,0.957682849102632,-2.9950179678200837e-21,8,-0.00022305327559255748,-0.0002158137888614795,0.00022305327559255748,2.9950179678200837e-21,-0.00016020795655557235,9.106767963639931e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.015625,6.25,9,0.00024696195686324106,5.294972359876082e-17,0.00023287534713745117,0.9429604061098747,-7.417637851858403e-19,8,-0.00022305327559255748,-0.00020878794415999245,0.00022305327559255748,7.417637851858403e-19,-0.00016020795655557235,9.106767963645874e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.03125,6.25,9,0.00024696195686324106,6.394800596172534e-15,0.0002197236754000187,0.8897065693470109,-1.777482013557729e-16,8,-0.00022305327559255748,-0.00019543621420694206,0.00022305327559255748,1.777482013557729e-16,-0.00016020795655557235,9.10676796435811e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.0625,6.25,9,0.00024696195686324106,7.316612051465332e-13,0.0001964038092410192,0.795279612032637,-3.998984287825864e-14,8,-0.00022305327559255748,-0.00017175506733429938,0.00022305327559255748,3.998984287825864e-14,-0.00016020795655557235,9.106768044024434e-18,0.09538272998102627
waypoints,False,14.255,0.65,0.125,6.25,9,0.00024696195686324106,7.758591571939075e-11,0.00016270945832275174,0.6588442219578564,-8.1174690338637e-12,8,-0.00022305327559255748,-0.0001361885313544426,0.00022305327559255748,8.1174690338637e-12,-0.00016020795655557235,9.106775898692886e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.000244140625,6.25,9,0.00024696195686324106,0.0,0.0,0.0,-3.4211388289175167e-49,16,0.00031055114129310634,-2147483647.99969,0.00022305327559255748,2.81243301276518e-33,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.00048828125,6.25,9,0.00024696195686324106,0.0,0.0,0.0,3.228992567531904e-57,16,0.00031055114129310634,0.0003092760444519838,0.00022305327559255748,7.19242866476559e-31,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.0009765625,6.25,9,0.00024696195686324106,0.0,0.0,0.0,2.1074611116770972e-52,16,0.00031055114129310634,0.00030800578653272825,0.00022305327559255748,1.8374766344694634e-28,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.001953125,6.25,9,0.00024696195686324106,0.0,0.0,0.0,1.369816962044875e-47,16,0.00031055114129310634,0.0003054793903918805,0.00022305327559255748,4.6846085892459725e-26,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.00390625,6.25,9,0.00024696195686324106,0.0,0.0,0.0,8.830417845889023e-43,16,0.00031055114129310634,0.00030048354855000115,0.00022305327559255748,1.1894129638698829e-23,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.0078125,6.25,9,0.00024696195686324106,4.2012834183813297e-19,0.00023651123046875,0.957682849102632,5.59905564019451e-38,16,0.00031055114129310634,0.0002907195901134366,0.00022305327559255748,2.9950179678200837e-21,-0.00016020795655557235,9.106767963639931e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.015625,6.25,9,0.00024696195686324106,5.275998821857586e-17,0.0002320408821105957,0.9395814847672748,3.434370706940325e-33,16,0.00031055114129310634,0.000272098880503697,0.00022305327559255748,7.417637851858403e-19,-0.00016020795655557235,9.106767963645874e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.03125,6.25,9,0.00024696195686324106,6.3503618596277844e-15,0.00021819677203893661,0.8835238220912154,1.9720882635604904e-28,16,0.00031055114129310634,0.00023841084203772567,0.00022305327559255748,1.777482013557729e-16,-0.00016020795655557235,9.10676796435811e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.0625,6.25,9,0.00024696195686324106,7.216637498089901e-13,0.00019372013775864616,0.7844128715983637,9.981948263377628e-24,16,0.00031055114129310634,0.0001841344449715366,0.00022305327559255748,3.998984287825864e-14,-0.00016020795655557235,9.106768044024434e-18,0.09538272998102627
waypoints,True,14.255,0.65,0.125,6.25,9,0.00024696195686324106,7.555654834971205e-11,0.00015845356648469533,0.6416112363915281,4.112985871575132e-19,16,0.00031055114129310634,0.00011577026024128674,0.00022305327559255748,8.1174690338637e-12,-0.00016020795655557235,9.106775898692886e-18,0.09538272998102627
