regulator,coordinate,pressure_derivative,lapse_term,angular_term,material_exchange,active,absolute_residual,relative_residual
4.0,8.000179833528703,3.040016374445863e-07,-2.9971866532060006e-22,-3.031722511582833e-07,-4.582987064394036e-12,False,8.248032992382853e-10,0.0013584198680142378
4.0,8.25017870956958,2.74644623730643e-07,-1.308453277969255e-21,-2.7398226174173904e-07,7.465717583552673e-12,False,6.698277064862026e-10,0.0012209000494288625
4.0,8.500177585610457,2.4406559167938743e-07,-8.179170925906064e-22,-2.4494885817940144e-07,1.1808137344869314e-11,False,8.714583626699365e-10,0.0017820277509041753
4.0,8.750176461651332,2.1803037140293778e-07,-3.212479659521369e-22,-2.1735694723846383e-07,1.2367150482829273e-11,False,6.85791314956456e-10,0.0015750845426293098
4.0,9.000175337692209,1.929927678029731e-07,-6.942152944396152e-22,-1.9204955290231206e-07,1.1263569591455325e-11,False,9.544784702517981e-10,0.002478819855811099
4.0,9.250174213732969,1.6903048196776412e-07,-1.1283364727206953e-21,-1.695139731111434e-07,9.584747948582064e-12,False,4.739063954318342e-10,0.0013997954231300819
4.0,9.50017308977379,1.4933707363546996e-07,-7.627178748249325e-22,-1.4977993455683002e-07,7.850938908167161e-12,False,4.3500998245265684e-10,0.0014542755948673692
4.0,9.75017196581455,1.3218103771099155e-07,-4.419811154421293e-22,-1.3227978566717477e-07,6.285122269085351e-12,False,9.246283391458072e-11,0.00034961940801961133
4.0,10.000170841855368,1.1729557123850297e-07,-6.388023738038791e-22,-1.1708396550877212e-07,4.96087212333595e-12,False,2.1656660185354775e-10,0.0009239800586351724
4.0,10.250169717896132,1.0414278953705495e-07,-4.469909834576888e-22,-1.0374326948862664e-07,3.881556947534209e-12,False,4.03401605375395e-10,0.0019404575528995155
4.0,10.500168593936891,9.250580769198952e-08,-4.891956039413299e-22,-9.217659136009675e-08,3.0212213358504414e-12,False,3.322375532281268e-10,0.0017989376353382772
4.0,10.750167469977653,8.206349684164278e-08,-3.3227032249821e-22,-8.204235079202754e-08,2.3448207329385853e-12,False,2.3490870347851328e-11,0.00014314258171101428
4.0,11.000166346018473,7.312154787467089e-08,-3.206672273325828e-22,-7.32719367297648e-08,1.8175354689399124e-12,False,1.4857131962528868e-10,0.0010148639843873145
4.0,11.250165222059293,6.549679772833048e-08,-2.510456141724721e-22,-6.54745990771848e-08,1.40858178860101e-12,False,2.3607232934024235e-11,0.00018024530255891279
4.0,11.500164098100054,5.853189695674116e-08,-2.947924688648929e-22,-5.873090175320195e-08,1.0922944530121953e-12,False,1.979125020080731e-10,0.0016877531549814686
4.0,11.750162974140816,5.2683076408408014e-08,-3.780741555243926e-22,-5.276770769102574e-08,8.479819513674618e-13,False,8.378330066673596e-11,0.0007945187666898665
4.0,12.000161850181575,4.716894479510577e-08,-3.7807430969897764e-22,-4.753749169902175e-08,6.592943591068807e-13,False,3.6788760955724694e-10,0.0038844777837857523
4.0,12.250160726222395,4.3195868074725064e-08,-2.9222526754366695e-22,-4.288826216063889e-08,5.134802744100592e-13,False,3.0811939436029363e-10,0.003579260842132275
4.0,12.500159602263157,3.841326343632095e-08,-1.1317888172665311e-22,-3.876391127891883e-08,4.006702464993602e-13,False,3.502471723514935e-10,0.0045381987008801415
4.0,12.750158478303977,3.4572390763026025e-08,-2.380253908304122e-22,-3.515165629731762e-08,3.1326318479007033e-13,False,5.78952271107046e-10,0.008303443278943601
4.0,13.000157354344738,3.2857818366619494e-08,-1.4525319408729453e-22,-3.189692624836501e-08,2.454191785446948e-13,False,9.611375374328837e-10,0.014842679103584304
4.0,13.2501562303855,2.9225592044640998e-08,-1.720385320747081e-22,-2.8940005118686308e-08,1.926601990827999e-13,False,2.8577958615360075e-10,0.004913190159037612
4.0,13.50015510642632,2.5895602689125394e-08,-1.5363886890640063e-22,-2.6407503396884865e-08,1.515502017721727e-13,False,5.117491575578517e-10,0.009784269291929189
4.0,13.75015398246708,2.3777460877208912e-08,-1.695812216504037e-22,-2.40805761416272e-08,1.1945178265411998e-13,False,3.0299581263580274e-10,0.006331121693369401
4.0,14.000152858507844,2.216406772509814e-08,-1.6558707438237198e-22,-2.20445413329041e-08,9.433766143056185e-14,False,1.196207298553056e-10,0.0027058185530733857
4.0,14.250151734548664,2.0460175594080456e-08,-6.374222239801885e-23,-2.0128854849111994e-08,7.46477191971394e-14,False,3.313953926875967e-10,0.008164639056351092
4.0,14.500150610589422,1.803341143974383e-08,-1.5679239342697272e-22,-1.8473482778052524e-08,5.91787863870136e-14,False,4.4001215952246193e-10,0.012052831545336448
4.0,14.750149486630242,1.6958017552293153e-08,-1.0413210366653657e-22,-1.6983226823918308e-08,4.7001418655034785e-14,False,2.5162270206602267e-11,0.0007413468723581342
4.0,15.000148362671004,1.5720004395459942e-08,-7.331500273927481e-23,-1.5592558790264492e-08,3.7396076414645666e-14,False,1.2748300127179198e-10,0.004071300336066175
4.0,15.250147238711769,1.4200603851995177e-08,-7.553202160732195e-23,-1.435418896035397e-08,2.980510683354693e-14,False,1.53555303252036e-10,0.0053775610974436585
4.0,15.500146114752589,1.3493085149268918e-08,-1.4871075136808954e-22,-1.3233240190844215e-08,2.3794729418806525e-14,False,2.5986875315397347e-10,0.009723316560853682
4.0,15.750144990793348,1.2401501987879605e-08,-1.0258372135120662e-22,-1.2199289997112905e-08,1.902724018496374e-14,False,2.022310180067819e-10,0.008220502076383668
