grid,s,l,field,reference,interpolated,relative_error
coarse,1.7546287550188002,4.587904462932727,alpha,1.0000000127903024,1.0000000127894701,8.322231686146313e-13
coarse,1.7546287550188002,4.587904462932727,beta,0.0,-2.1189674681894815e-25,2.1189674681894815e-25
coarse,1.7546287550188002,4.587904462932727,gamma_ll,1.0000000464077763,1.0000000464047556,3.0206946652164038e-12
coarse,1.7546287550188002,4.587904462932727,gamma_omega,24.115701969605894,24.115701964806277,1.9902454882406673e-10
coarse,0.8083302456378321,2.8386984047822175,alpha,1.0289411209846129,1.0289409687923718,1.4791151595367916e-07
coarse,0.8083302456378321,2.8386984047822175,beta,-8.532666228468228e-15,-8.454218768608646e-15,7.844745985958275e-17
coarse,0.8083302456378321,2.8386984047822175,gamma_ll,1.1080071051650116,1.1080066346218247,4.246752432051795e-07
coarse,0.8083302456378321,2.8386984047822175,gamma_omega,11.63505337357069,11.635053422682507,4.2210220493782114e-09
coarse,2.7182206484922773,-3.0710320019058015,alpha,1.0,0.9999999999998946,1.0536016503692736e-13
coarse,2.7182206484922773,-3.0710320019058015,beta,0.0,2.4724229275904665e-60,2.4724229275904665e-60
coarse,2.7182206484922773,-3.0710320019058015,gamma_ll,1.0,0.9999999999996179,3.821387650759789e-13
coarse,2.7182206484922773,-3.0710320019058015,gamma_omega,12.522679287492458,12.522679284124635,2.689379226450459e-10
coarse,0.4928345881561169,-4.3619535620089405,alpha,1.000000585538966,1.0000005855203278,1.8638191179415012e-11
coarse,0.4928345881561169,-4.3619535620089405,beta,4.86610091556592e-73,-2.1350731681628358e-47,2.1350731681628358e-47
coarse,0.4928345881561169,-4.3619535620089405,gamma_ll,1.000002124545253,1.0000021244776272,6.76257612019776e-11
coarse,0.4928345881561169,-4.3619535620089405,gamma_omega,22.10211139623628,22.102111386314203,4.4891980805338394e-10
coarse,0.4367347181696415,-0.5585906118407671,alpha,188.69329596141117,188.69599946073245,1.432747945553926e-05
coarse,0.4367347181696415,-0.5585906118407671,beta,-0.0004872792446300601,-0.0004872008843245281,7.83603055319734e-08
coarse,0.4367347181696415,-0.5585906118407671,gamma_ll,80794.47290715159,80796.17097745412,2.10171592366755e-05
coarse,0.4367347181696415,-0.5585906118407671,gamma_omega,4.555829943418989,4.555829951631887,1.8027226694813851e-09
coarse,2.2040293061568113,-0.42408819953129306,alpha,1.1202160627613473,1.1202160631144258,3.151878169747606e-10
coarse,2.2040293061568113,-0.42408819953129306,beta,0.0,-6.788619189505655e-23,6.788619189505655e-23
coarse,2.2040293061568113,-0.42408819953129306,gamma_ll,1.486916557701335,1.4869166210835676,4.262662369669287e-08
coarse,2.2040293061568113,-0.42408819953129306,gamma_omega,3.5933984153380423,3.5933984604028755,1.2541006587547807e-08
coarse,0.05150966408876245,-5.969029248872504,alpha,1.000000000000039,1.0000000000000386,4.4408920985004526e-16
coarse,0.05150966408876245,-5.969029248872504,beta,0.0,-6.879233389617323e-59,6.879233389617323e-59
coarse,0.05150966408876245,-5.969029248872504,gamma_ll,1.0000000000001417,1.0000000000001408,8.881784196999994e-16
coarse,0.05150966408876245,-5.969029248872504,gamma_omega,38.69183624326294,38.691836228026574,3.937876387948068e-10
coarse,1.1995579936084901,3.9490628747071703,alpha,1.000009579362582,1.0000095793532142,9.367750100107358e-12
coarse,1.1995579936084901,3.9490628747071703,beta,4.9834020138721016e-107,-4.565250536494823e-25,4.565250536494823e-25
coarse,1.1995579936084901,3.9490628747071703,gamma_ll,1.000034757668787,1.0000347576347997,3.398607617607082e-11
coarse,1.1995579936084901,3.9490628747071703,gamma_omega,18.699294303239963,18.699294302943954,1.582993166499821e-11
coarse,-0.032946530591667855,5.535443385900885,alpha,1.0000000000059017,1.0000000000059008,8.881784196948834e-16
coarse,-0.032946530591667855,5.535443385900885,beta,0.0,3.080879971712695e-53,3.080879971712695e-53
coarse,-0.032946530591667855,5.535443385900885,gamma_ll,1.0000000000214135,1.0000000000214109,2.6645352590433186e-15
coarse,-0.032946530591667855,5.535443385900885,gamma_omega,33.70380748462496,33.70380748530685,2.0231736356135997e-11
coarse,1.3093395611043808,2.886464149183629,alpha,1.0119517913800729,1.0119517033188041,8.702120938135011e-08
coarse,1.3093395611043808,2.886464149183629,beta,-3.4817429419367213e-09,-3.466618868246062e-09,1.512407369065943e-11
coarse,1.3093395611043808,2.886464149183629,gamma_ll,1.043875972952128,1.0438756720844469,2.8822167480531536e-07
coarse,1.3093395611043808,2.886464149183629,gamma_omega,11.834468819040103,11.834468870345042,4.3352126528347426e-09
coarse,-0.3078268625058771,4.6138839567910725,alpha,1.0000000719227984,1.0000000719191224,3.6759481701494146e-12
coarse,-0.3078268625058771,4.6138839567910725,beta,0.0,2.9546054031085264e-37,2.9546054031085264e-37
coarse,-0.3078268625058771,4.6138839567910725,gamma_ll,1.000000260961561,1.0000002609482237,1.3337327758897059e-11
coarse,-0.3078268625058771,4.6138839567910725,gamma_omega,24.356146137609144,24.356146130848845,2.775602900836238e-10
coarse,1.0275110703109278,-2.123217693357456,alpha,1.9382489787887016,1.9382520717966691,1.5957743310449493e-06
coarse,1.0275110703109278,-2.123217693357456,beta,6.375127346210807e-56,-2.5831271557648692e-27,2.5831271557648692e-27
coarse,1.0275110703109278,-2.123217693357456,gamma_ll,7.70828263481135,7.7083056976660735,2.991957588529548e-06
coarse,1.0275110703109278,-2.123217693357456,gamma_omega,8.685045523974715,8.68504496961349,6.382939776637922e-08
coarse,-0.7893943557961167,-2.523441792786075,alpha,1.250238770678993,1.2502381692012539,4.810902951312753e-07
coarse,-0.7893943557961167,-2.523441792786075,beta,-8.470393687963738e-09,-8.440279542544193e-09,3.0114145419545356e-11
coarse,-0.7893943557961167,-2.523441792786075,gamma_ll,2.1358152909605743,2.1358166074923814,6.164071456456398e-07
coarse,-0.7893943557961167,-2.523441792786075,gamma_omega,10.240228700228299,10.240228786542694,8.428951946060428e-09
coarse,1.668311937826076,-1.6963184687056536,alpha,1.8623517338518698,1.8623516663793442,3.622974346911465e-08
coarse,1.668311937826076,-1.6963184687056536,beta,1.6852750626670366e-102,-2.022975929021299e-30,2.022975929021299e-30
coarse,1.668311937826076,-1.6963184687056536,gamma_ll,6.873567906717512,6.873567243568444,9.647814309871874e-08
coarse,1.668311937826076,-1.6963184687056536,gamma_omega,7.1104874897651165,7.110466761872252,2.9151155802147254e-06
coarse,0.05398101637550279,0.9730921250623181,alpha,362.4913222211956,362.55393514200574,0.00017272943370467145
coarse,0.05398101637550279,0.9730921250623181,beta,-0.001202696106816018,-0.001202242961966577,4.5314484944090384e-07
coarse,0.05398101637550279,0.9730921250623181,gamma_ll,155729.39557590822,155776.96883378556,0.00030548669184397463
coarse,0.05398101637550279,0.9730921250623181,gamma_omega,5.309898881170894,5.309898851004045,5.681247447076604e-09
coarse,-0.9092090099936292,-1.186509003467343,alpha,13.353312468572888,13.359306726160021,0.0004488966764793949
coarse,-0.9092090099936292,-1.186509003467343,beta,-1.116910613204502,-1.1168536760603525,5.097735080705542e-05
coarse,-0.9092090099936292,-1.186509003467343,gamma_ll,325.6118113943812,325.89717527816185,0.0008763929126483684
coarse,-0.9092090099936292,-1.186509003467343,gamma_omega,5.827122533629084,5.82712250174771,5.471203634598633e-09
coarse,-0.8290206453580747,3.9254434739627424,alpha,1.0000263649175445,1.000026363605009,1.312500809713295e-09
coarse,-0.8290206453580747,3.9254434739627424,beta,9.881578140500132e-46,2.886833804576648e-30,2.8868338045766468e-30
