s,l,field,reference,interpolated,relative_error
-1.21875,6.25,gamma_ll,1.0000000000000053,1.0,5.329070518200723e-15
-1.21875,6.25,gamma_omega,42.12500700035901,42.12500000000001,1.6618060159136741e-07
-1.21875,6.375,alpha,1.0000000000000004,1.0,4.440892098500624e-16
-1.21875,6.375,beta,0.0,0.0,0.0
-1.21875,6.375,gamma_ll,1.0000000000000013,1.0,1.332267629550186e-15
-1.21875,6.375,gamma_omega,43.703128813727886,43.703125,8.726441309583083e-08
-1.21875,6.5,alpha,1.0,1.0,0.0
-1.21875,6.5,beta,0.0,0.0,0.0
-1.21875,6.5,gamma_ll,1.0,1.0,0.0
-1.21875,6.5,gamma_omega,45.31250205008819,45.3125,4.524332356191036e-08
-1.21875,6.625,alpha,1.0,1.0,0.0
-1.21875,6.625,beta,0.0,0.0,0.0
-1.21875,6.625,gamma_ll,1.0,1.0,0.0
-1.21875,6.625,gamma_omega,46.953126087418816,46.95312500000001,2.3159667946190896e-08
-1.21875,6.75,alpha,1.0,1.0,0.0
-1.21875,6.75,beta,0.0,0.0,0.0
-1.21875,6.75,gamma_ll,1.0,1.0,0.0
-1.21875,6.75,gamma_omega,48.62500056915466,48.625000000000014,1.1704979676155485e-08
-1.21875,6.875,alpha,1.0,1.0,0.0
-1.21875,6.875,beta,0.0,0.0,0.0
-1.21875,6.875,gamma_ll,1.0,1.0,0.0
-1.21875,6.875,gamma_omega,50.32812529395463,50.328125,5.840762516651717e-09
-1.21875,7.0,alpha,1.0,1.0,0.0
-1.21875,7.0,beta,0.0,0.0,0.0
-1.21875,7.0,gamma_ll,1.0,1.0,0.0
-1.21875,7.0,gamma_omega,52.06250014981454,52.0625,2.8775901850590223e-09
-1.21875,7.125,alpha,1.0,1.0,0.0
-1.21875,7.125,beta,0.0,0.0,0.0
-1.21875,7.125,gamma_ll,1.0,1.0,0.0
-1.21875,7.125,gamma_omega,53.82812507534564,53.82812500000001,1.3997446845920284e-09
-1.21875,7.25,alpha,1.0,1.0,0.0
-1.21875,7.25,beta,0.0,0.0,0.0
-1.21875,7.25,gamma_ll,1.0,1.0,0.0
-1.21875,7.25,gamma_omega,55.625000037393775,55.62499999999998,6.722480265807662e-10
-1.21875,7.375,alpha,1.0,1.0,0.0
-1.21875,7.375,beta,0.0,0.0,0.0
-1.21875,7.375,gamma_ll,1.0,1.0,0.0
-1.21875,7.375,gamma_omega,57.453125018314026,57.45312499999998,3.187650308288723e-10
-1.21875,7.5,alpha,1.0,1.0,0.0
-1.21875,7.5,beta,0.0,0.0,0.0
-1.21875,7.5,gamma_ll,1.0,1.0,0.0
-1.21875,7.5,gamma_omega,59.312500008851515,59.3125,1.4923523835847273e-10
-1.21875,7.625,alpha,1.0,1.0,0.0
-1.21875,7.625,beta,0.0,0.0,0.0
-1.21875,7.625,gamma_ll,1.0,1.0,0.0
