beta,tension_factor_B,yukawa,gauge_coupling,role,required_radius_sqrt_mu,scalar_core_radius_sqrt_mu,core_over_loop_radius,fermi_momentum_over_sqrt_mu,bulk_mass_over_sqrt_mu,fermi_over_bulk_mass,exterior_mass_fraction,semiclassical_mode_number,radial_speed_bound,radial_lorentz_factor,exterior_channel_energetically_open,exterior_wkb_exponent,target_exponent,minimum_mode_number,yukawa_loop_size,quartic_loop_to_tree_diagnostic,minimum_node_action_for_six_rotors,geometric_and_exponent_diagnostics_met,local_string_decay_rate_proved
3.1622776601683795e-10,0.10658563650349748,2.0,0.3,relaxed_stationary_string,23772889.306100264,237728.89306100266,0.01,2.5066282746310002,3.456254529445971,0.7252441199788624,0.99,59589796.50434386,0.0,1.0,False,,100.0,100.0,0.025330295910584444,3560063505.9331403,7.412420749900779e+16,True,False
3.1622776601683795e-10,0.10658563650349748,2.0,1.0,rotor_forward_branch,7131866.79183008,71318.6679183008,0.01,3.5658079220099768,3.456254529445971,1.0316971425659345,0.99,25429825.657906324,0.00905,1.000040953765679,True,49408256.41601266,100.0,100.0,0.025330295910584444,320405715.5339826,6671178674910702.0,True,False
3.1622776601683795e-10,0.10658563650349748,2.0,1.0,relaxed_stationary_string,7131866.79183008,71318.6679183008,0.01,2.5066282746310002,3.456254529445971,0.7252441199788624,0.99,17876938.951303158,0.0,1.0,False,,100.0,100.0,0.025330295910584444,320405715.5339826,6671178674910702.0,True,False
1e-09,0.11280047679134322,0.3,0.3,rotor_forward_branch,14362754.930953598,140606.38374890812,0.009789652780740772,3.5658079220099768,0.5039539466783931,7.0756622614279445,0.99,51212727.96062151,0.00905,1.000040953765679,True,99.99999999998235,100.0,100.0,0.0005699316579881499,569931.65798815,2.705650070329909e+16,True,False
1e-09,0.11280047679134322,0.3,0.3,relaxed_stationary_string,14060638.374890812,140606.38374890812,0.01,2.5066282746310002,0.5039539466783931,4.973923294285952,0.99,35244793.709862985,0.0,1.0,True,68862.78511925027,100.0,100.0,0.0005699316579881499,569931.65798815,2.5930220172624176e+16,True,False
1e-09,0.11280047679134322,0.3,1.0,rotor_forward_branch,4364694.485584116,42181.915124672436,0.00966434541157291,3.5658079220099768,0.5039539466783931,7.0756622614279445,0.99,15563024.8093778,0.00905,1.000040953765679,True,99.99999999996646,100.0,100.0,0.0005699316579881499,51293.849218933494,2498640796431700.5,True,False
1e-09,0.11280047679134322,0.3,1.0,relaxed_stationary_string,4218191.512467244,42181.915124672436,0.01,2.5066282746310002,0.5039539466783931,4.973923294285952,0.99,10573438.112958897,0.0,1.0,True,20658.835535775084,100.0,100.0,0.0005699316579881499,51293.849218933494,2333719815536175.5,True,False
1e-09,0.11280047679134322,1.0,0.3,rotor_forward_branch,14060638.374890812,140606.38374890812,0.01,3.5658079220099768,1.679846488927977,2.1226986784283834,0.99,50135482.46890191,0.00905,1.000040953765679,True,3457508.222052378,100.0,100.0,0.006332573977646111,70361933.0849568,2.5930220172624176e+16,True,False
1e-09,0.11280047679134322,1.0,0.3,relaxed_stationary_string,14060638.374890812,140606.38374890812,0.01,2.5066282746310002,1.679846488927977,1.4921769882857858,0.99,35244793.709862985,0.0,1.0,True,9089613.631067699,100.0,100.0,0.006332573977646111,70361933.0849568,2.5930220172624176e+16,True,False
1e-09,0.11280047679134322,1.0,1.0,rotor_forward_branch,4218191.512467244,42181.915124672436,0.01,3.5658079220099768,1.679846488927977,2.1226986784283834,0.99,15040644.740670573,0.00905,1.000040953765679,True,1037252.4666157118,100.0,100.0,0.006332573977646111,6332573.977646111,2333719815536175.5,True,False
1e-09,0.11280047679134322,1.0,1.0,relaxed_stationary_string,4218191.512467244,42181.915124672436,0.01,2.5066282746310002,1.679846488927977,1.4921769882857858,0.99,10573438.112958897,0.0,1.0,True,2726884.0893203127,100.0,100.0,0.006332573977646111,6332573.977646111,2333719815536175.5,True,False
1e-09,0.11280047679134322,2.0,0.3,rotor_forward_branch,14060638.374890812,140606.38374890812,0.01,3.5658079220099768,3.359692977855954,1.0613493392141917,0.99,50135482.46890191,0.00905,1.000040953765679,True,73924267.55893,100.0,100.0,0.025330295910584444,1125790929.3593087,2.5930220172624176e+16,True,False
1e-09,0.11280047679134322,2.0,0.3,relaxed_stationary_string,14060638.374890812,140606.38374890812,0.01,2.5066282746310002,3.359692977855954,0.7460884941428929,0.99,35244793.709862985,0.0,1.0,False,,100.0,100.0,0.025330295910584444,1125790929.3593087,2.5930220172624176e+16,True,False
1e-09,0.11280047679134322,2.0,1.0,rotor_forward_branch,4218191.512467244,42181.915124672436,0.01,3.5658079220099768,3.359692977855954,1.0613493392141917,0.99,15040644.740670573,0.00905,1.000040953765679,True,22177280.267679002,100.0,100.0,0.025330295910584444,101321183.64233777,2333719815536175.5,True,False
1e-09,0.11280047679134322,2.0,1.0,relaxed_stationary_string,4218191.512467244,42181.915124672436,0.01,2.5066282746310002,3.359692977855954,0.7460884941428929,0.99,10573438.112958897,0.0,1.0,False,,100.0,100.0,0.025330295910584444,101321183.64233777,2333719815536175.5,True,False
3.1622776601683795e-09,0.11973829021679845,0.3,0.3,rotor_forward_branch,9090755.557458723,83354.91834948432,0.009169195874054036,3.5658079220099768,0.48913618522322083,7.290010491419061,0.99,32414560.685519636,0.00905,1.000040953765679,True,100.00000000009034,100.0,100.0,0.0005699316579881499,180228.21498786518,1.0839171479882542e+16,True,False
