case,s,model,required_negative_null,baseline_required_negative_null,auxiliary_slice_energy,required_negative_null_of_endpoint_remainder
coarse_eta095_recovery100_voltage050,0.0,benchmark_bank_mass_only,41988172829.45581,0.0731271696096231,208107347845237.28,41988172829.44267
coarse_eta095_recovery100_voltage050,0.0,any_recovery_bank_mass_lower_bound,41988172829.45581,0.0731271696096231,208039031697388.3,41988172829.44267
coarse_eta095_recovery100_voltage050,0.5,inventory_only,0.07651397204839704,0.07065375379886116,60.44382811827469,0.00849240176898959
coarse_eta095_recovery100_voltage050,0.5,isotropic_wall_bound,0.07993270602464479,0.07065375379886116,95.67501953389858,0.013446302800900183
coarse_eta095_recovery100_voltage050,0.5,benchmark_bank_mass_only,29116917673.696186,0.07065375379886116,207495013655897.62,29116917673.655178
coarse_eta095_recovery100_voltage050,0.5,any_recovery_bank_mass_lower_bound,29116917673.696186,0.07065375379886116,207427194716563.34,29116917673.655178
coarse_eta095_recovery100_voltage050,1.285,inventory_only,0.1639817293057568,0.10407907145903474,59.888495753794096,0.07937027849197553
coarse_eta095_recovery100_voltage050,1.285,isotropic_wall_bound,0.21019927098095964,0.10407907145903474,95.1196868668554,0.12558782016626377
coarse_eta095_recovery100_voltage050,1.285,benchmark_bank_mass_only,271624729488.96274,0.10407907145903474,207495011877719.75,271624729488.95856
coarse_eta095_recovery100_voltage050,1.285,any_recovery_bank_mass_lower_bound,271624729488.96274,0.10407907145903474,207427192938556.06,271624729488.95856
refined_eta100_recovery100_voltage000,0.0,inventory_only,0.08181227199707555,0.0731058499918498,43.6257931214018,0.012368714919076177
refined_eta100_recovery100_voltage000,0.0,isotropic_wall_bound,0.08767061851534277,0.0731058499918498,72.54213495761299,0.020615107681440252
refined_eta100_recovery100_voltage000,0.0,benchmark_bank_mass_only,42407185660.41533,0.0731058499918498,149032997153240.34,42407185660.40227
refined_eta100_recovery100_voltage000,0.0,any_recovery_bank_mass_lower_bound,29419686000.409126,0.0731058499918498,147517366610559.44,29419686000.396057
refined_eta100_recovery100_voltage000,0.5,inventory_only,0.0764742793468826,0.07055558037646578,43.28442654063621,0.00615850359994515
refined_eta100_recovery100_voltage000,0.5,isotropic_wall_bound,0.08042034961532787,0.07055558037646578,72.11171756909067,0.010157825496109805
refined_eta100_recovery100_voltage000,0.5,benchmark_bank_mass_only,20896178260.96012,0.07055558037646578,148575069298383.53,20896178260.919064
refined_eta100_recovery100_voltage000,0.5,any_recovery_bank_mass_lower_bound,20896178260.96012,0.07055558037646578,147087313410171.66,20896178260.919064
refined_eta100_recovery100_voltage000,1.285,inventory_only,0.1646198695932241,0.10398176192529458,42.729364287545344,0.08016081617838954
refined_eta100_recovery100_voltage000,1.285,isotropic_wall_bound,0.21796642058068552,0.10398176192529458,71.55665504351914,0.1335073671647953
refined_eta100_recovery100_voltage000,1.285,benchmark_bank_mass_only,274335355819.9565,0.10398176192529458,148575067897180.62,274335355819.95233
refined_eta100_recovery100_voltage000,1.285,any_recovery_bank_mass_lower_bound,190318218512.81845,0.10398176192529458,147087312209000.53,190318218512.81427
coarse_eta100_recovery100_voltage000,0.0,inventory_only,0.07924592512847721,0.0731271696096231,43.33321153678419,0.008706189344179311
coarse_eta100_recovery100_voltage000,0.0,isotropic_wall_bound,0.08335199031861679,0.0731271696096231,72.0545139403617,0.014510901308146928
coarse_eta100_recovery100_voltage000,0.0,benchmark_bank_mass_only,29849906455.665924,0.0731271696096231,148031223553920.94,29849906455.652786
coarse_eta100_recovery100_voltage000,0.0,any_recovery_bank_mass_lower_bound,29849906455.665924,0.0731271696096231,147977289752987.53,29849906455.652786
