speed,arrival,arrival_direction_deg,origin,origin_offset,origin_r,energy_ratio_at_origin,status
10.0,3.0,22.5,alongside,0.12150259735906473,0.8560449321423126,0.9930041330302073,0
10.0,3.0,45.0,alongside,1.5928148286514234,0.3351005868939855,0.7488551090498514,0
10.0,3.0,67.5,alongside,1.5127509104565278,0.1294162639737432,0.9999999992161347,0
10.0,3.0,90.0,alongside,1.0786731325805925,13.917757828826419,1.000000066169278,0
10.0,3.0,112.5,alongside,-1.5127509104677475,0.12941626395877115,0.9999999992522698,0
10.0,3.0,135.0,alongside,-1.59281482871584,0.33510058687149574,0.7488551091064594,0
10.0,3.0,157.5,alongside,-0.12150259751419386,0.8560449320399149,0.9930041326653761,0
10.0,3.0,180.0,ahead,44.06086438312738,3.3772569604697717e-13,0.032245033297495486,0
10.0,3.0,202.5,alongside,-0.12150259759657844,0.856044931985479,0.9930041326336339,0
10.0,3.0,225.0,alongside,-1.5928148287569153,0.33510058685715727,0.7488551091057762,0
10.0,3.0,247.49999999999997,alongside,-1.512750910434982,0.12941626400246414,0.9999999992280989,0
10.0,3.0,270.0,alongside,1.0786731348396612,13.917757828828268,1.0000002840746571,0
10.0,3.0,292.5,alongside,1.5127509104089083,0.1294162640372373,0.9999999992353059,0
10.0,3.0,315.0,alongside,1.5928148286922454,0.3351005868797408,0.7488551090968328,0
10.0,3.0,337.5,alongside,0.12150259734576416,0.8560449321510979,0.9930041330389726,0
10.0,7.0,0.0,behind,-8.610165095190416,0.0,1.5223375073080345e+121,0
10.0,7.0,22.5,alongside,-0.45411456406750966,2.57457207163052,0.9808461660214595,0
10.0,7.0,45.0,alongside,-0.723003153985053,0.9933161176882017,0.7045737682184411,0
10.0,7.0,67.5,alongside,-1.5201873719097778,3.4996911320637123,0.11812493015895618,0
10.0,7.0,90.0,alongside,3.848271940740335,10.927737786425515,1.3936905951895646e+59,-1
10.0,7.0,112.5,alongside,1.5201873713144194,3.499691132009386,0.11812493019581682,0
10.0,7.0,135.0,alongside,0.7230031537080056,0.9933161177489849,0.7045737681852573,0
