lambda1,lambda2,nodes,energy,pressure,opacity_scaling_derivative,effective_exponent,minimum_dec_holding_energy,zero_wall_mass_held_energy_floor,zero_wall_mass_released_energy,virial_identity_error,measured_mass_025_released_energy,measured_mass_025_held_floor,measured_mass_1_released_energy,measured_mass_1_held_floor,released_zero_energy_mass_per_wall
0.000501187233627,0.000501187233627,512,-7.902031008732431e-10,-7.945430352456635e-10,1.5760662673740641e-09,1.0054921758312825,7.945430352456635e-10,4.339934372420476e-12,-7.902031008732431e-10,-1.2407709188295415e-24,0.4999999992097969,0.50000000000434,1.999999999209797,2.00000000000434,3.9510155043662154e-10
0.00063095734448,0.00063095734448,128,-1.2506451750204081e-09,-1.2589428006702256e-09,2.4929927243909987e-09,1.0066346760980245,1.2589428006702256e-09,8.297625649817507e-12,-1.2506451750204081e-09,0.0,0.4999999987493548,0.5000000000082976,1.9999999987493549,2.000000000008298,6.253225875102041e-10
0.00063095734448,0.00063095734448,256,-1.2506451750204172e-09,-1.2589428006702327e-09,2.4929927243910174e-09,1.0066346760980227,1.2589428006702327e-09,8.29762564981544e-12,-1.2506451750204172e-09,-1.6543612251060553e-24,0.4999999987493548,0.5000000000082976,1.9999999987493549,2.000000000008298,6.253225875102086e-10
0.00063095734448,0.00063095734448,512,-1.2506451750204104e-09,-1.2589428006702256e-09,2.492992724391004e-09,1.0066346760980227,1.2589428006702256e-09,8.297625649815233e-12,-1.2506451750204104e-09,-1.6543612251060553e-24,0.4999999987493548,0.5000000000082976,1.9999999987493549,2.000000000008298,6.253225875102052e-10
0.000794328234724,0.000794328234724,128,-1.9788108246019135e-09,-1.994647011669012e-09,3.941785462136729e-09,1.008002880755559,1.994647011669012e-09,1.583618706709838e-11,-1.9788108246019135e-09,0.0,0.49999999802118916,0.5000000000158362,1.999999998021189,2.000000000015836,9.894054123009568e-10
0.000794328234724,0.000794328234724,256,-1.9788108246019276e-09,-1.9946470116690222e-09,3.941785462136758e-09,1.008002880755557,1.9946470116690222e-09,1.5836187067094658e-11,-1.9788108246019276e-09,-1.6543612251060553e-24,0.49999999802118916,0.5000000000158362,1.999999998021189,2.000000000015836,9.894054123009638e-10
0.000794328234724,0.000794328234724,512,-1.9788108246019172e-09,-1.9946470116690115e-09,3.941785462136736e-09,1.0080028807555568,1.9946470116690115e-09,1.5836187067094244e-11,-1.9788108246019172e-09,-4.1359030627651384e-24,0.49999999802118916,0.5000000000158362,1.999999998021189,2.000000000015836,9.894054123009586e-10
0.001,0.0001,128,-3.1444129593301623e-10,-3.1628277763681504e-10,6.270411101622337e-10,1.0058563608775837,3.1628277763681504e-10,1.8414817037988037e-12,-3.1444129593301623e-10,0.0,0.4999999996855587,0.5000000000018415,1.9999999996855586,2.0000000000018416,1.5722064796650812e-10
0.001,0.0001,256,-3.1444129593301835e-10,-3.1628277763681664e-10,6.270411101622381e-10,1.005856360877582,3.1628277763681664e-10,1.8414817037982867e-12,-3.1444129593301835e-10,-2.0679515313825692e-25,0.4999999996855587,0.5000000000018415,1.9999999996855586,2.0000000000018416,1.5722064796650918e-10
0.001,0.0001,512,-3.1444129593301665e-10,-3.162827776368148e-10,6.270411101622346e-10,1.0058563608775815,3.162827776368148e-10,1.8414817037981316e-12,-3.1444129593301665e-10,-6.203854594147708e-25,0.4999999996855587,0.5000000000018415,1.9999999996855586,2.0000000000018416,1.5722064796650832e-10
0.001,0.001,128,-3.1298580687814758e-09,-3.160023847380175e-09,6.229550358964253e-09,1.0096380659875877,3.160023847380175e-09,3.016577859869931e-11,-3.1298580687814758e-09,1.6543612251060553e-24,0.4999999968701419,0.5000000000301658,1.9999999968701418,2.0000000000301656,1.5649290343907379e-09
0.001,0.001,256,-3.1298580687814993e-09,-3.1600238473801945e-09,6.2295503589643e-09,1.009638065987586,3.1600238473801945e-09,3.016577859869517e-11,-3.1298580687814993e-09,-3.308722450212111e-24,0.4999999968701419,0.5000000000301658,1.9999999968701418,2.0000000000301656,1.5649290343907497e-09
0.001,0.001,512,-3.1298580687814832e-09,-3.160023847380176e-09,6.229550358964268e-09,1.0096380659875854,3.160023847380176e-09,3.016577859869269e-11,-3.1298580687814832e-09,-4.963083675318166e-24,0.4999999968701419,0.5000000000301658,1.9999999968701418,2.0000000000301656,1.5649290343907416e-09
0.001,0.01,128,-3.0261383717603965e-08,-3.132965672249078e-08,5.9454494430321135e-08,1.035301525364994,3.132965672249078e-08,1.0682730048868153e-09,-3.0261383717603965e-08,1.3234889800848443e-23,0.49999996973861627,0.500000001068273,1.9999999697386164,2.000000001068273,1.5130691858801983e-08
0.001,0.01,256,-3.026138371760419e-08,-3.1329656722490966e-08,5.9454494430321566e-08,1.0353015253649924,3.1329656722490966e-08,1.0682730048867756e-09,-3.026138371760419e-08,-3.970466940254533e-23,0.49999996973861627,0.500000001068273,1.9999999697386164,2.000000001068273,1.5130691858802095e-08
0.001,0.01,512,-3.026138371760403e-08,-3.132965672249078e-08,5.9454494430321255e-08,1.0353015253649918,3.132965672249078e-08,1.0682730048867492e-09,-3.026138371760403e-08,-5.293955920339377e-23,0.49999996973861627,0.500000001068273,1.9999999697386164,2.000000001068273,1.5130691858802016e-08
