interval,incoming,outgoing,geometric,balance_residual
106,3.3849280262546156e-05,0.0017965033823589462,0.002442946879608141,-4.846383711010205e-17
107,3.4326786211040623e-05,0.0018031051434409195,0.0024564281548138537,8.673617379884035e-18
108,3.4813790348032964e-05,0.0018097648976032952,0.0024700206080088423,4.5536491244391186e-17
109,3.531049787100942e-05,0.001816482840820693,0.0024837248318157474,-9.974659986866641e-18
110,3.581711740088078e-05,0.0018232591678118716,0.0024975417500893954,-1.3769367590565906e-17
111,3.633386192197844e-05,0.0018300940735862436,0.00251147215247816,1.4094628242311558e-17
112,3.6860947959187706e-05,0.001836987750506453,0.002525516769208618,-2.4936649967166602e-17
113,3.73985964546363e-05,0.001843940390774408,0.002539676602198273,9.324138683375338e-18
114,3.794703259062045e-05,0.0018509521864304307,0.0025539523064921515,-1.463672932855431e-17
115,3.850648572278803e-05,0.0018580233242807215,0.0025683448700600164,2.927345865710862e-18
116,3.907719006765083e-05,0.001865153950821167,0.002582855126060107,1.2793585635328952e-17
117,3.965938412974388e-05,0.0018723442296302362,0.002597483866974979,-1.5070410197548512e-17
118,4.025331139676947e-05,0.0018795943828145015,0.0026122321454420125,3.209238430557093e-17
119,4.0859220203311175e-05,0.0018869046440667333,0.0026271006588961315,-1.940721888749053e-17
120,4.147736374188416e-05,0.0018942752202361975,0.0026420904554911345,-2.7647155398380363e-17
121,4.2108000589400664e-05,0.0019017062905806836,0.002657202405166393,4.4777549723651333e-17
122,4.2751394301472845e-05,0.0019091980185537817,0.00267243735369683,1.7780915628762273e-17
123,4.3407813989258036e-05,0.0019167505674372515,0.002687796404353781,-2.1250362580715887e-17
124,4.4077534214327144e-05,0.0019243641040976606,0.0027032802959681924,-6.071532165918825e-18
125,4.476083505133001e-05,0.0019320387984415716,0.0027188901405802938,-2.6020852139652106e-18
126,4.545800251537076e-05,0.0019397748228958931,0.0027346268507114175,-8.131516293641283e-18
127,4.6169328270385516e-05,0.0019475723475541823,0.0027504913333071357,2.168404344971009e-17
128,4.689511012659398e-05,0.0019554315416524465,0.0027664847483672263,-1.8214596497756474e-17
129,4.7635651926163885e-05,0.001963352573002018,0.00278260788622189,1.973247953923618e-17
130,4.839126363950379e-05,0.0019713356068386586,0.002798861928667121,-3.870601755773251e-17
131,4.9162261765830916e-05,0.001979380783695839,0.00281524783961414,3.447762908503904e-17
132,4.994896913242745e-05,0.0019874882300662507,0.0028317665985459063,-8.239936510889834e-18
133,5.075171534176414e-05,0.001995658102028068,0.0028484194299001828,2.0599841277224584e-17
134,5.15708367168347e-05,0.0020038905877302862,0.002865207190671137,-1.3118846287074604e-17
135,5.240667642966966e-05,0.0020121858790175516,0.002882131141266576,1.2034644114589099e-17
136,5.325958481347405e-05,0.0020205441480144193,0.002899192309057995,-5.2800645800044066e-17
137,5.412991919822896e-05,0.0020289655397932246,0.0029163917579731265,-1.1492543028346347e-17
138,5.501804434086154e-05,0.002037450184916175,0.002933730784283935,6.526897078362737e-17
139,5.592433237172627e-05,0.0020459982088223577,0.0029512103263811948,-2.45029690981724e-17
140,5.6849162946121484e-05,0.0020546097383147277,0.00296883173340969,-1.4203048459560108e-17
141,5.779292354156077e-05,0.0020632849039037937,0.0029865961112848305,-8.673617379884035e-18
142,5.875600932248901e-05,0.002072023834915955,0.003004504624273924,-2.42861286636753e-17
143,5.973882356590421e-05,0.002080826660756706,0.0030225586537116723,4.0115480381963664e-17
144,6.074177761159595e-05,0.002089693509511448,0.0030407592367194263,3.686287386450715e-18
145,6.176529103494479e-05,0.0020986244961689283,0.0030591078230702224,-5.637851296924623e-18
146,6.2809791931994e-05,0.0021076197145899747,0.0030776056116645365,2.1033522146218786e-17
147,6.38757168073124e-05,0.0021166792538712337,0.003096253881164782,-2.8189256484623115e-17
