interval,incoming,outgoing,geometric,balance_residual
73,0.0016146124753277065,0.0,-0.0007222015062651509,-6.938893903907228e-18
74,0.001619465417970889,0.0,-0.0007263508696788482,1.0299920638612292e-17
75,0.0016243697543492815,0.0,-0.0007303739084493992,1.8214596497756474e-17
76,0.0016293256938042203,0.0,-0.0007342713957677448,-1.2793585635328952e-17
77,0.001634333445595369,0.0,-0.0007380438808581277,-3.577867169202165e-18
78,0.0016393932189533715,0.0,-0.0007416920956137816,1.3118846287074604e-17
79,0.0016445052225865025,0.0,-0.0007452165932969679,-1.2793585635328952e-17
80,0.0016496696657682718,0.0,-0.0007486179262219496,-8.998878031629687e-18
81,0.001654886757250875,0.0,-0.000751896719751334,1.0408340855860843e-17
82,0.0016601567060062243,0.0,-0.0007550533712242164,-9.75781955236954e-18
83,0.0016654797209173454,0.0,-0.0007580884676697912,1.5070410197548512e-17
84,0.001670856010134221,0.0,-0.0007610024016253558,-8.890457814381136e-18
85,0.0016762857819608047,0.0,-0.000763795573710355,1.0516761073109393e-17
86,0.00168176924371513,0.0,-0.0007664684486448434,-5.312590645178972e-18
87,0.0016873066025352552,0.0,-0.000769021260340564,3.0357660829594124e-18
88,0.0016928980526157691,0.0,-0.000771454439277005,-1.496198998029996e-17
89,0.0016985438019221965,0.0,-0.0007737682073040171,1.1384122811097797e-17
90,0.001704244080157028,0.0,-0.0007759628064292743,2.5695591487906455e-17
91,0.001709999095582966,0.0,-0.000778038534169902,-1.3552527156068805e-17
92,0.0017158090453926716,0.0,-0.0007799954550867123,-8.782037597132586e-18
93,0.0017216741326284849,0.0,-0.0007818338355049448,5.204170427930421e-18
94,0.0017275945619073807,0.0,-0.0007835537177738201,1.1926223897340549e-18
95,0.001733570537879384,0.0,-0.0007851551743288987,-9.75781955236954e-18
96,0.0017396022636074061,0.0,-0.0007866383216022304,7.589415207398531e-18
97,0.0017456899316537196,0.0,-0.0007880030427497247,-3.577867169202165e-18
98,0.0017518337438462825,0.0,-0.0007892494297878135,7.37257477290143e-18
99,0.0010732322897101488,0.0,-0.00048271103983967256,5.854691731421724e-18
100,0.0006847993325092882,0.0,-0.0003076662895554038,-5.9631119486702744e-18
101,0.0017642906786279676,0.0,-0.0007913866496108767,1.4094628242311558e-17
102,0.0017706042039661305,0.0,-0.000792277330928748,-1.6046192152785466e-17
