id,layout,module,compartment_count,compartment,domain,boundary,angular_index,geometry_stride,nodes,control,lowest_squared_frequency
189,broad,1,32,3,"[np.float64(1.022164008608819), np.float64(1.1749238704083365)]",dirichlet,0,1,1025,mesh,1388.8952262967043
190,broad,1,32,4,"[np.float64(1.1749238704083365), np.float64(1.3000338802050169)]",dirichlet,0,1,257,mesh,1669.7618214272945
191,broad,1,32,4,"[np.float64(1.1749238704083365), np.float64(1.3000338802050169)]",dirichlet,0,1,513,mesh,1669.7484115083728
192,broad,1,32,4,"[np.float64(1.1749238704083365), np.float64(1.3000338802050169)]",dirichlet,0,1,1025,mesh,1669.745061699113
193,broad,1,32,5,"[np.float64(1.3000338802050169), np.float64(1.3857721453807508)]",dirichlet,0,1,257,mesh,1501.2812980252552
194,broad,1,32,5,"[np.float64(1.3000338802050169), np.float64(1.3857721453807508)]",dirichlet,0,1,513,mesh,1501.2676908766102
195,broad,1,32,5,"[np.float64(1.3000338802050169), np.float64(1.3857721453807508)]",dirichlet,0,1,1025,mesh,1501.2642891367439
196,broad,1,32,6,"[np.float64(1.3857721453807508), np.float64(1.448265774801141)]",dirichlet,0,1,257,mesh,1409.2606735793108
197,broad,1,32,6,"[np.float64(1.3857721453807508), np.float64(1.448265774801141)]",dirichlet,0,1,513,mesh,1409.2478339550894
198,broad,1,32,6,"[np.float64(1.3857721453807508), np.float64(1.448265774801141)]",dirichlet,0,1,1025,mesh,1409.2446240510808
199,broad,1,32,7,"[np.float64(1.448265774801141), np.float64(1.5016076942842547)]",dirichlet,0,1,257,mesh,1380.4403508838548
200,broad,1,32,7,"[np.float64(1.448265774801141), np.float64(1.5016076942842547)]",dirichlet,0,1,513,mesh,1380.4277044636215
201,broad,1,32,7,"[np.float64(1.448265774801141), np.float64(1.5016076942842547)]",dirichlet,0,1,1025,mesh,1380.4245428760944
202,broad,1,32,8,"[np.float64(1.5016076942842547), np.float64(1.5512274915707747)]",dirichlet,0,1,257,mesh,1367.7545152957482
203,broad,1,32,8,"[np.float64(1.5016076942842547), np.float64(1.5512274915707747)]",dirichlet,0,1,513,mesh,1367.7418914382495
204,broad,1,32,8,"[np.float64(1.5016076942842547), np.float64(1.5512274915707747)]",dirichlet,0,1,1025,mesh,1367.738735490281
205,broad,1,32,9,"[np.float64(1.5512274915707747), np.float64(1.5991642662198735)]",dirichlet,0,1,257,mesh,1360.012341978373
206,broad,1,32,9,"[np.float64(1.5512274915707747), np.float64(1.5991642662198735)]",dirichlet,0,1,513,mesh,1359.999716952125
