s,l,endpoint_speed,timelike_margin,packet_edge_distance
1.37,-0.5,-1.500618543051191e-11,1.0,1.52
1.3800000000000001,-2.1,-1.6059053373261566e-57,1.0,3.1300000000000003
1.3800000000000001,-0.5,-1.1450173760629738e-11,1.0,1.5300000000000002
1.3900000000000001,-2.1,1.1775138757766734e-57,1.0,3.14
1.3900000000000001,-0.5,-8.718941590844742e-12,1.0,1.54
1.4000000000000001,-2.1,9.571242121393447e-58,1.0,3.15
1.4000000000000001,-0.5,-6.625225071561059e-12,1.0,1.5500000000000003
1.41,-2.1,-4.368834614077928e-59,1.0,3.1599999999999997
1.41,-0.5,-5.023383402936787e-12,1.0,1.56
1.42,-2.1,-3.552866938262363e-58,1.0,3.17
1.42,-0.5,-3.800579581802783e-12,1.0,1.5699999999999998
1.43,-2.1,-1.140610833077405e-58,1.0,3.18
1.43,-0.5,-2.8691494057674455e-12,1.0,1.58
1.44,-2.1,8.360989100324453e-59,1.0,3.19
1.44,-0.5,-2.1611361990445766e-12,1.0,1.5899999999999999
1.45,-2.1,6.687277210563456e-59,1.0,3.1999999999999997
1.45,-0.5,-1.6240857880207342e-12,1.0,1.6
1.46,-2.1,-2.755740933079349e-60,1.0,3.21
1.46,-0.5,-1.217643136808729e-12,1.0,1.6099999999999999
1.47,-2.1,-2.4131328694113586e-59,1.0,3.22
1.47,-0.5,-9.107314390060719e-13,1.0,1.62
1.48,-2.1,-7.74222428199505e-60,1.0,3.23
1.48,-0.5,-6.795409583107871e-13,1.0,1.63
1.49,-2.1,5.722933981849388e-60,1.0,3.2399999999999998
1.49,-0.5,-5.058248107670696e-13,1.0,1.6400000000000001
1.5,-2.1,4.599446674676566e-60,1.0,3.25
1.5,-0.5,-3.755816412410827e-13,1.0,1.65
1.51,-2.1,-1.4112797814910368e-61,1.0,3.2600000000000002
1.51,-0.5,-2.7814555070356935e-13,1.0,1.6599999999999997
1.52,-2.1,-1.6242157584760665e-60,1.0,3.27
1.52,-0.5,-2.054635667675326e-13,1.0,1.67
1.53,-2.1,-5.552013365925424e-61,1.0,3.28
1.53,-0.5,-1.5137855760004911e-13,1.0,1.6800000000000002
1.54,-2.1,3.740249041941256e-61,1.0,3.29
1.54,-0.5,-1.1123089323393346e-13,1.0,1.69
1.55,-2.1,3.0640390977964605e-61,1.0,3.3000000000000003
1.55,-0.5,-8.152075835074138e-14,1.0,1.6999999999999997
1.56,-2.1,-8.869737321381749e-63,1.0,3.31
1.56,-0.5,-5.958388564601718e-14,1.0,1.71
1.57,-2.1,-1.055514125591609e-61,1.0,3.32
1.57,-0.5,-4.34264755729148e-14,1.0,1.7200000000000002
1.58,-2.1,-3.5071016820788394e-62,1.0,3.33
1.58,-0.5,-3.1556079237087064e-14,1.0,1.73
1.59,-2.1,2.373329667688369e-62,1.0,3.3400000000000003
1.59,-0.5,-2.2864939580020814e-14,1.0,1.7399999999999998
1.6,-2.1,1.9765197463082785e-62,1.0,3.35
1.6,-0.5,-1.6526469489079405e-14,1.0,1.75
1.61,-2.1,-6.783010517398878e-64,1.0,3.36
1.61,-0.5,-1.1911098143534417e-14,1.0,1.7600000000000002
1.62,-2.1,-7.020429869591778e-63,1.0,3.37
1.62,-0.5,-8.561201921440298e-15,1.0,1.77
1.6300000000000001,-2.1,-2.2994088054570336e-63,1.0,3.3800000000000003
1.6300000000000001,-0.5,-6.130038306819484e-15,1.0,1.7799999999999998
1.6400000000000001,-2.1,1.5017977074861224e-63,1.0,3.39
1.6400000000000001,-0.5,-4.371025831003371e-15,1.0,1.79
1.6500000000000001,-2.1,1.245854755598582e-63,1.0,3.4
1.6500000000000001,-0.5,-3.115712901188819e-15,1.0,1.8000000000000003
1.6600000000000001,-2.1,-3.647573568712676e-65,1.0,3.41
1.6600000000000001,-0.5,-2.2268974217358494e-15,1.0,1.81
1.67,-2.1,-4.31900423066699e-64,1.0,3.42
1.67,-0.5,-1.5768307322768832e-15,1.0,1.8199999999999998
1.68,-2.1,-1.4571415176915838e-64,1.0,3.43
1.68,-0.5,-1.1032060772499478e-15,1.0,1.8299999999999996
1.69,-2.1,8.640505275278554e-65,1.0,3.44
1.69,-0.5,-7.748081888318831e-16,1.0,1.8399999999999999
1.7,-2.1,7.298055957466744e-65,1.0,3.4499999999999997
