half_angle,layer,rounding,kind,r0,kept_energy,status,time,exit_angle_deg
22.0,2.0,0.5,light,0.2,8.194950816177066,left sideways,31.34623535054183,57.30893771816504
22.0,2.0,0.5,light,0.5,4.448501363587105,left sideways,32.25011198906733,53.56288635875216
22.0,2.0,0.5,light,1.0,3.288621622853471,left sideways,33.43705707747512,50.54516048711938
22.0,2.0,0.5,light,2.0,2.878557990358442,left sideways,34.80043049866786,48.84031356776443
22.0,2.0,0.5,light,4.0,2.7498880503653322,left sideways,36.766543188767386,48.189089028060934
22.0,2.0,0.5,light,7.0,2.689893552433578,left sideways,39.54540719070477,47.86166439188253
22.0,2.0,0.5,light,10.0,2.2777165558738948,left sideways,42.8875270848538,45.07651816879764
22.0,2.0,0.5,light,12.5,1.1508433547051624,left sideways,55.01834883217009,21.35482232249081
22.0,2.0,0.5,matter,0.05,16.45145013691924,left sideways,26.03593290807184,63.379830925864596
22.0,2.0,0.5,matter,0.2,9.445981002627734,left sideways,25.547911143640505,64.64758864858081
22.0,2.0,0.5,matter,0.5,6.353736784234965,left sideways,25.306017592854886,66.02689264355381
22.0,2.0,0.5,matter,1.0,5.080365911141921,left sideways,25.239773867750696,67.03986769955118
22.0,2.0,0.5,matter,2.0,4.52982289929503,left sideways,25.2693793878981,67.6382254119965
22.0,2.0,0.5,matter,4.0,4.329752389980877,left sideways,25.387636292723514,67.89001420091162
22.0,2.0,0.5,matter,7.0,4.199566701714557,left sideways,25.59230985080519,68.06559796975039
22.0,2.0,0.5,matter,10.0,3.213100473094063,left sideways,25.97480861657456,69.81038230258918
22.0,2.0,0.5,matter,12.5,1.205716570231702,left sideways,31.494003340443864,81.63808175340581
22.0,2.0,2.0,light,0.05,833.2691925059094,left sideways,31.93366737769132,61.52214259743352
22.0,2.0,2.0,light,0.2,197.64935303870976,left sideways,30.89742563558896,61.390288177146914
22.0,2.0,2.0,light,0.5,66.55912733492686,left sideways,30.32197112775078,61.04907495160817
22.0,2.0,2.0,light,1.0,23.526258992175126,left sideways,30.187307641524555,60.102139775456635
22.0,2.0,2.0,light,2.0,7.384733544903126,left sideways,31.00532168385261,56.83021485681812
22.0,2.0,2.0,light,4.0,3.676355514789978,left sideways,33.41116962157965,51.780842124122394
22.0,2.0,2.0,light,7.0,2.992808216228739,left sideways,36.411213070855894,49.366863515826665
22.0,2.0,2.0,light,10.0,2.6862710550978153,left sideways,39.31202596530223,47.841370667409485
22.0,2.0,2.0,light,12.5,1.8148238108709844,left sideways,43.052948380932335,40.10912716107133
22.0,2.0,2.0,matter,0.05,394.61876712584785,left sideways,27.230899042869083,61.641607669016686
22.0,2.0,2.0,matter,0.2,108.8039138411473,left sideways,26.145781099428316,61.84660080445066
22.0,2.0,2.0,matter,0.5,47.05654765246248,left sideways,25.444489403365214,62.21362874731504
22.0,2.0,2.0,matter,1.0,23.037669744000134,left sideways,24.921435465680403,62.873915077429665
22.0,2.0,2.0,matter,2.0,10.349150336049366,left sideways,24.39913954007526,64.39271961414055
22.0,2.0,2.0,matter,4.0,5.847139793525688,left sideways,24.08568804163635,66.38096521957937
22.0,2.0,2.0,matter,7.0,4.752524561329334,left sideways,24.098946394411957,67.38087251481542
22.0,2.0,2.0,matter,10.0,4.087266450317212,left sideways,24.26499047270764,68.22524724191491
22.0,2.0,2.0,matter,12.5,2.2854458342126898,left sideways,24.976003934787784,72.67095683217265
22.0,5.0,0.5,light,0.05,9.220387641602361,left sideways,37.82693225278941,57.79159514349777
22.0,5.0,0.5,light,0.2,5.161707385226118,left sideways,38.04256716060026,54.71314477491623
22.0,5.0,0.5,light,0.5,3.6204346673577725,left sideways,38.87882544949293,51.62016917417345
22.0,5.0,0.5,light,1.0,3.0620831228240704,left sideways,39.82978015966721,49.6651458225072
22.0,5.0,0.5,light,2.0,2.8268642641509145,left sideways,41.02838087609675,48.58658340021872
22.0,5.0,0.5,light,4.0,2.734781320394569,left sideways,42.95375528407428,48.10815264211364
22.0,5.0,0.5,light,7.0,2.6025908152532726,left sideways,45.86781472574432,47.35490389486784
22.0,5.0,0.5,light,10.0,1.8399188264903723,left sideways,50.71963564520164,40.457974117665124
22.0,5.0,0.5,light,12.5,1.02422857926232,passed,72.54338578423199,9.028993076116016
22.0,5.0,0.5,matter,0.05,9.788655442215997,left sideways,30.62656696812726,64.54564339224096
22.0,5.0,0.5,matter,0.2,6.747579566195009,left sideways,30.04571659741844,65.78589261503642
22.0,5.0,0.5,matter,0.5,5.318778058428515,left sideways,29.80301349169483,66.81625517977761
22.0,5.0,0.5,matter,1.0,4.712469351193553,left sideways,29.740488632887892,67.42551445717936
22.0,5.0,0.5,matter,2.0,4.423148600644992,left sideways,29.76611841903715,67.76988182097637
22.0,5.0,0.5,matter,4.0,4.274464477954285,left sideways,29.885574439965566,67.96338781224256
22.0,5.0,0.5,matter,7.0,3.794140462962055,left sideways,30.14751064581888,68.682382563884
22.0,5.0,0.5,matter,10.0,2.0893437006088416,left sideways,31.43682504593127,73.57453070480078
