family,unload_fraction,route,time,required_negative_null,peak_x,peak_null_cosine,auxiliary_ADM
dec_floor,0.05,delivery_drift050,1.285,0.3929434152554302,-0.51328125,-0.06080914124969165,191.4107265580205
dec_floor,0.05,delivery_drift090,0.0,0.11118733538360076,-0.50078125,0.394156510253158,145.8564402598077
dec_floor,0.05,delivery_drift090,0.5,0.08353108583947384,-0.50078125,0.012994537978439908,154.70541659497977
dec_floor,0.05,delivery_drift090,1.285,0.3929434152554302,-0.51328125,-0.06080914124969165,191.4107265580205
dec_floor,0.05,guide_omitted_tensor_bound,0.0,0.09448947652901751,-0.50078125,1.0,-404.81625177772673
dec_floor,0.05,guide_omitted_tensor_bound,0.5,0.049764210845910435,-2.0992187500000004,-1.0,-155.12901315246617
dec_floor,0.05,guide_omitted_tensor_bound,1.285,0.34247799427305814,-0.51328125,-1.0,162.26147582203828
dec_floor,0.1,delivery_drift050,0.0,0.11252128159943613,-0.50078125,0.3546557115395272,170.77674159623643
dec_floor,0.1,delivery_drift050,0.5,0.08623319043390947,-0.50078125,0.007828760705301445,164.89728529515915
dec_floor,0.1,delivery_drift050,1.285,0.39162687285272246,-0.51171875,-0.22898670857372747,187.92798126986682
dec_floor,0.1,delivery_drift090,0.0,0.10966298425189186,-0.50078125,0.38020212950339816,143.37777914720814
dec_floor,0.1,delivery_drift090,0.5,0.08291872760694308,-0.50078125,0.008281858369252097,149.48133671296992
dec_floor,0.1,delivery_drift090,1.285,0.38836704579919085,-0.51328125,-0.2451205094746465,186.4776474547336
dec_floor,0.1,guide_omitted_tensor_bound,0.0,0.09204368998835634,-0.50078125,1.0,-407.29491289032615
dec_floor,0.1,guide_omitted_tensor_bound,0.5,0.04960868835144769,-2.0992187500000004,-1.0,-160.35309303447602
dec_floor,0.1,guide_omitted_tensor_bound,1.285,0.3605911991608687,-0.51328125,-1.0,157.32839671875138
dec_floor,0.25,delivery_drift050,0.0,0.4733375392194482,-0.50078125,0.03863372590882594,3227.0078898639435
dec_floor,0.25,delivery_drift050,0.5,0.4555533957138447,-0.50078125,-0.0003972062487144984,1874.3539900118767
dec_floor,0.25,delivery_drift050,1.285,0.8073852061991523,-0.50078125,-0.19814613677290188,345.02758930533093
dec_floor,0.25,delivery_drift090,0.0,0.10563539237843729,-0.50078125,0.3466862620808268,136.17852235039553
dec_floor,0.25,delivery_drift090,0.5,0.0816307992167816,-0.50078125,-0.002978659410739908,135.3076047864679
dec_floor,0.25,delivery_drift090,1.285,0.5642095787320919,-0.50078125,-1.0,181.41795055162885
dec_floor,0.25,guide_omitted_tensor_bound,0.0,0.08568563105143968,-0.50078125,1.0,-414.4941696871388
dec_floor,0.25,guide_omitted_tensor_bound,0.5,0.04914212086805946,-2.0992187500000004,-1.0,-174.52682496097802
dec_floor,0.25,guide_omitted_tensor_bound,1.285,0.564209578732092,-0.50078125,-1.0,152.26869981564667
dec_floor,0.5,delivery_drift050,0.0,2.3733642440991773,-0.50078125,0.007657902660892143,18995.617851679326
dec_floor,0.5,delivery_drift050,0.5,2.365619459702503,-0.50078125,-0.001599652576540267,10744.850973685778
dec_floor,0.5,delivery_drift050,1.285,3.115651487942405,-0.50078125,-0.1939880732553384,1210.9269585147656
dec_floor,0.5,delivery_drift090,0.0,0.21720353659498629,-0.50078125,0.11015579890860341,1099.0253572840118
dec_floor,0.5,delivery_drift090,0.5,0.20059722069996297,-0.50078125,-0.02185318923855247,675.3839198420367
dec_floor,0.5,delivery_drift090,1.285,1.7806253704490849,-0.50078125,-1.0,263.5906015790409
dec_floor,0.5,guide_omitted_tensor_bound,0.0,0.08953894041464139,-0.50078125,1.0,-418.9891846513047
dec_floor,0.5,guide_omitted_tensor_bound,0.5,0.04836450839574575,-2.0992187500000004,-1.0,-178.72266061792334
dec_floor,0.5,guide_omitted_tensor_bound,1.285,1.7806253704490849,-0.50078125,-1.0,183.23617844609998
dec_floor,1.0,delivery_drift050,0.0,7.040382048621044,-0.50078125,0.00313789335091741,57712.90337411398
dec_floor,1.0,delivery_drift050,0.5,7.054321128681052,-0.50078125,-0.0016494994636461525,32533.920525467838
dec_floor,1.0,delivery_drift050,1.285,8.8176712258988,-0.50078125,-0.19336250596600094,3354.743625394355
dec_floor,1.0,delivery_drift090,0.0,0.5794373414152246,-0.50078125,0.04206090311356458,4123.853119207716
dec_floor,1.0,delivery_drift090,0.5,0.571446793320256,-0.50078125,-0.021848007966396993,2382.1932534999405
dec_floor,1.0,delivery_drift090,1.285,4.802343411253354,-0.50078125,-1.0,518.066439163118
dec_floor,1.0,guide_omitted_tensor_bound,0.0,0.10140100579662112,-0.50078125,1.0,-421.6466791995114
dec_floor,1.0,guide_omitted_tensor_bound,0.5,0.06488921216116447,-0.50078125,-1.0,-175.31932760447893
dec_floor,1.0,guide_omitted_tensor_bound,1.285,4.802343411253354,-0.50078125,-1.0,277.4554278310043
directional,0.0,delivery_drift050,0.0,0.12995442255983003,-0.50078125,0.48046332196370395,217.96327003966624
directional,0.0,delivery_drift050,0.5,0.09423641677944611,-0.50078125,0.018608052136536428,229.44565782111633
