s,drift_comparison,x,required_negative_null,worst_direction
0.0,0.2,-1.0906250000000002,0.4839027408677461,0.0005940707995884351
0.0,0.2,-1.084375,0.48657837426614237,0.0005985897058235442
0.0,0.2,-1.078125,0.489263241997195,0.0006035651908460301
0.0,0.2,-1.071875,0.4919578590780357,0.0006090046588543775
0.0,0.2,-1.065625,0.4946620631030642,0.0006148973313414362
0.0,0.2,-1.0593750000000002,0.49737632704017487,0.0006212116884232385
0.0,0.2,-1.053125,0.5001004630667758,0.0006279058062114037
0.0,0.2,-1.046875,0.5028349163898814,0.0006349502287598665
0.0,0.2,-1.040625,0.5055795080195471,0.0006423397932481318
0.0,0.2,-1.034375,0.5083346665828535,0.0006500911384614127
0.0,0.2,-1.0281250000000002,0.511100216291105,0.0006582218969636477
0.0,0.2,-1.021875,0.5138765339917826,0.0006667318396624229
0.0,0.2,-1.015625,0.5166634130984186,0.0006755937727018342
0.0,0.2,-1.009375,0.5194611545905086,0.0006847638518737352
0.0,0.2,-1.003125,0.5222695362833161,0.00069420156470425
0.0,0.2,-0.9968750000000001,0.5250870872887198,0.0007038910297593368
0.0,0.2,-0.9906250000000001,0.5279136220420585,0.0007138562812272012
0.0,0.2,-0.984375,0.5307474204897412,0.0007241382471035815
0.0,0.2,-0.978125,0.5335883017179699,0.0007347623045827496
0.0,0.2,-0.971875,0.5364359743722207,0.0007456994691622182
0.0,0.2,-0.9656250000000001,0.5392902014965303,0.0007568822172737013
0.0,0.2,-0.9593750000000001,0.542150678538387,0.0007682541360178343
0.0,0.2,-0.953125,0.5450171903547134,0.0007798022344323561
0.0,0.2,-0.946875,0.5478894860480898,0.0007915564338554608
0.0,0.2,-0.940625,0.5507673668360668,0.0008035444591383813
0.0,0.2,-0.9343750000000001,0.5536505713925035,0.0008157630935290244
0.0,0.2,-0.9281250000000001,0.5565388757335915,0.0008282045316254076
0.0,0.2,-0.921875,0.5594320355718099,0.0008408821209936714
0.0,0.2,-0.915625,0.5623298727727186,0.0008538299105179777
0.0,0.2,-0.909375,0.5652322398633234,0.0008671082651614823
0.0,0.2,-0.903125,0.5681419920983584,0.0008860777507755189
0.0,0.2,-0.896875,0.8975944617563216,0.0005694428877046007
0.0,0.2,-0.890625,0.9021616072996149,0.0005781139667625215
0.0,0.2,-0.884375,0.9067368638029019,0.0005877358354900192
0.0,0.2,-0.878125,0.911319659399657,0.0005980028280599161
0.0,0.2,-0.871875,0.9159097203889447,0.0006088010161863184
0.0,0.2,-0.865625,0.920506868958312,0.0006202821240419518
0.0,0.2,-0.859375,0.9251110861834844,0.0006326329609646457
0.0,0.2,-0.853125,0.9297222347632986,0.0006460585852119807
0.0,0.2,-0.846875,0.9343401997324613,0.0006606455846069622
0.0,0.2,-0.840625,0.9389645469413954,0.0006762968172369936
0.0,0.2,-0.834375,0.9435949897730564,0.0006929538076048334
0.0,0.2,-0.828125,0.9482311757409827,0.0007106274578388862
0.0,0.2,-0.821875,0.9528729861331283,0.0007294442524900717
0.0,0.2,-0.815625,0.9575202289677932,0.0007495990685231647
0.0,0.2,-0.809375,0.9621728226805462,0.0007712903770083583
0.0,0.2,-0.803125,0.9668305099403212,0.0007946539044237915
0.0,0.2,-0.796875,0.9714929879163018,0.000819765289900798
0.0,0.2,-0.790625,0.9761598793257333,0.0008466447678265657
0.0,0.2,-0.784375,0.9808307563057094,0.0008752771573774498
0.0,0.2,-0.778125,0.9855052101638948,0.0009056628828600859
0.0,0.2,-0.771875,0.9901829534340936,0.0009378327665515139
0.0,0.2,-0.765625,0.9948636003128066,0.0009718141938946349
