s,x,velocity,gamma,heat,effective_n,momentum,alpha,b,coordinate_fixed_velocity,momentum_rate,decomposition_residual,traction,lapse,radial_metric,shift,endpoint
0.34,-1.4009285596148138,-0.7827064772410482,1.6067070096461944,3.0467682393679807,0.004268486376892845,-6.397129343418402,85.01107306578673,128.9040610753274,-4.194779292492201e-10,-11.819813888923333,3.552713678800501e-15,40.3104788122354,-42.963826312238794,-7.9878801580247965,4.368737252430817e-08,-1.1785862745825129
0.34500000000000003,-1.4035191212962856,-0.7912013903252011,1.6351740635521776,3.029081923492331,0.004253155859378985,-6.4555941867321724,83.48097269924344,127.0171916382091,-3.4183662570029053e-10,-11.566435238147124,3.552713678800501e-15,39.13857391313286,-42.18582530753437,-7.327063530025901,3.5994782768583974e-08,-1.1921203497144877
0.35000000000000003,-1.4061283986882005,-0.7995005758639364,1.6648205967285152,3.0107778681053188,0.004237148992445798,-6.512796595685839,81.96699072463566,125.14020184269086,-2.7824422110813255e-10,-11.314828325302813,-3.552713678800501e-15,37.986403384014494,-41.42251375117015,-6.675270816036184,2.959579357801413e-08,-1.2034471717067707
0.355,-1.408755592195331,-0.8075977059461662,1.695680345394832,2.9919073991822143,0.004220489758138155,-6.5687456599573,80.46954577544312,123.2737228906957,-2.2620355880055393e-10,-11.065135777664613,-1.7763568394002505e-15,36.854440267311446,-40.67423627932485,-6.032893496987845,2.4284181390330503e-08,-1.212446292947545
0.36,-1.4113998942718642,-0.8154869547795168,1.7277857802101912,2.972524827342258,0.004203207484694981,-6.623451534972348,78.98903113807795,121.41836953372587,-1.8370366449232267e-10,-10.8175922683191,3.552713678800501e-15,35.743116745148654,-39.941299224841636,-5.40030143449733,1.9890126721279705e-08,-1.2191083740189124
0.365,-1.4140604916290072,-0.8231631137613242,1.761168088239913,2.9526865683384105,0.004185336293897282,-6.676925562349513,77.52581369031785,119.57473824101811,-1.49032969927468e-10,-10.572436523196375,3.552713678800501e-15,34.65282364816335,-39.22396848409458,-4.777840021711786,1.6264550679126363e-08,-1.2234516818179082
0.37,-1.416736567509281,-0.8306216128034204,1.7958568297331314,2.9324512947606123,0.004166915257032705,-6.729180274924178,76.08023398495446,117.74340664484164,-1.2078111580071117e-10,-10.32990534926186,-7.105427357601002e-15,33.583909726520034,-38.52247013523338,-4.165829028544747,1.3281390933198004e-08,-1.2255159252851695
0.375,-1.4194273039630338,-0.8378585361910775,1.831879553711714,2.9118800908573066,0.004147988553361752,-6.780229372956727,74.65260602711886,115.92493259392903,-9.7797303280988e-11,-10.090228036288899,-1.7763568394002505e-15,32.53668085214187,-37.83699092117749,-3.5645615382548304,1.0835200924718033e-08,-1.225356439833653
0.38,-1.422131884105173,-0.844870633017672,1.8692613699836804,2.891036610225665,0.00412860562889162,-6.830087674655945,73.24321679592171,114.11985286608468,-7.910483277586958e-11,-9.853621815632804,3.552713678800501e-15,31.511399221676925,-37.167678643340686,-2.9743030083202284,8.833956191112302e-09,-1.2230393944827658
0.385,-1.4248494943341294,-0.8516553198485981,1.908024461140918,2.8699872264747985,0.004108821329506732,-6.8787710461685805,71.8523268210532,112.32868308657581,-6.392492876057912e-11,-9.620287964720294,0.0,30.50828373524743,-36.514643331026534,-2.395290879733891,7.202608822294838e-09,-1.218637496409908
0.39,-1.4275793264919678,-0.8582106836907536,1.948187576073125,2.848801184993606,0.0040886959911017986,-6.926296425735233,70.48016923516644,110.55191667197923,-5.160383348712729e-11,-9.390480065095737,0.0,29.52750987915897,-35.878030098906585,-1.8277318307080928,5.868560207690585e-09,-1.2122280205085891
0.395,-1.4303205799099292,-0.8645354859166193,1.9897655234710663,2.827550730216103,0.0040682953473441825,-6.9726821350286246,69.12694867352083,108.79002576197607,-4.1614435935627015e-11,-9.164444080796233,0.0,28.56921005930863,-35.25796025194477,-1.2718053339463629,4.77199142948269e-09,-1.20388855898572
0.4,-1.4330724633535503,-0.87062913674457,2.0327684646225634,2.8063112619688146,0.004047690870820621,-7.017947375500707,67.79284320800893,107.04345966841275,-3.353068959861322e-11,-8.942312695075099,-3.552713678800501e-15,27.633473312220985,-34.654428105544504,-0.727665987963899,3.873453828025821e-09,-1.1936919176611376
0.405,-1.4358341969080777,-0.876491675141099,2.0772011925603513,2.785161480038967,0.004026960112626885,-7.062111952758429,66.47800506788415,105.31264367279049,-2.699250390621011e-11,-8.724194959564466,-7.105427357601002e-15,26.72034434103466,-34.06739349661014,-0.1954393777031914,3.1386694944584033e-09,-1.1817064294244748
0.41000000000000003,-1.4386050137650364,-0.8821237487204802,2.1230623794286716,2.7641835049135244,0.004006186800827198,-7.105196156822307,65.18256161173892,103.59797933701337,-2.171388389988802e-11,-8.510175425170228,0.0,25.829825424687797,-33.496783724914984,0.3247773929231183,2.539833687356291e-09,-1.167994520405995
0.41500000000000004,-1.4413841618962502,-0.8875265920410649,2.1703437913951755,2.743462992310059,0.003985460846278547,-7.147220637983052,63.906615365109325,101.89984370286595,-1.7455188684215156e-11,-8.300313653730905,-7.105427357601002e-15,24.961878018133746,-32.94249499977114,0.8329150403850272,2.0530269543491177e-09,-1.1526117145315689
0.42,-1.4441709056072451,-0.8927020003694685,2.2190294534726163,2.723089221732403,0.003964878302055806,-7.188206282451771,62.650244929955825,100.2185895413305,-1.4021778317507645e-11,-8.09464452469194,-5.329070518200751e-15,24.116425024603032,-32.404394433684,1.3289310738404407,1.6583669862899386e-09,-1.1356061911097874
0.425,-1.44696452696757,-0.897652301378702,2.269094789018053,2.7031551640583644,0.003944541294533209,-7.2281740900424785,61.41350565275694,98.55454532959548,-1.1257116701102001e-11,-7.893178706789882,8.881784197001252e-16,23.29335286618435,-31.882321865403156,1.8128087496735457,1.3394994659197872e-09,-1.1170184585841196
0.43,-1.4497643271106762,-0.9023803250485517,2.3205057480440687,2.6837575236089193,0.003924557921174381,-7.267145055391723,60.196430084026,96.90801499023675,-9.03034911751681e-12,-7.695903698399966,-2.6645352591003757e-15,22.492513360992632,-31.376091536327678,2.284555998763625,1.0824315139842265e-09,-1.096881522910979
0.435,-1.452569627726681,-0.906889879090717,2.3732240885641738,2.6649859033694177,0.003905031937992984,-7.305140413870092,58.99902885845774,95.2792788009617,-7.238796838125749e-12,-7.5030322231663575,0.0,21.713725507034013,-30.88552855071442,2.7442077819944735,8.746156842606582e-10,-1.0754369623550422
0.44,-1.4553797779964464,-0.9111885208078697,2.427245385661399,2.6468586754268966,0.0038860016715790507,-7.342183114719262,57.82128872843892,93.66859270663613,-5.798373318391788e-12,-7.314795969869792,0.0,20.956775126997073,-30.41038668118849,3.1918645420843617,7.054381524128859e-10,-1.0530489584681741
0.445,-1.4581941633668425,-0.9152852627626722,2.4825830303523584,2.6293607207082776,0.0038674730809611945,-7.3782956140470395,56.66317318041361,92.07618567655844,-4.64137856237923e-12,-7.130905546256483,-5.329070518200751e-15,20.22141846139833,-29.950317395896644,3.627666389269539,5.68030663273262e-10,-1.0296730015957436
0.45,-1.461012206174358,-0.9191890736591598,2.5392535963161986,2.6124722153461053,0.0038494460688317297,-7.413498988178435,55.52462411063802,90.50225983626832,-3.713491313686477e-12,-6.9511074380906726,-1.7763568394002505e-15,19.507385314249376,-29.504961334234185,4.051768099414483,4.5677242723349034e-10,-1.005299517977121
0.455,-1.463833364821028,-0.9229088329532165,2.5972774364671305,2.5961686963163735,0.0038319144015105974,-7.447813159777301,54.40556308251185,88.94699126389183,-2.969397576929402e-12,-6.775193639398621,-1.7763568394002505e-15,18.814382001920606,-29.073950893101117,4.464337833099548,3.6685603612320465e-10,-0.9799625816845162
0.46,-1.466657132845269,-0.926453292205417,2.6566793472804844,2.580421045233759,0.003814865575073232,-7.481257124060762,53.30589316118615,87.41053156107621,-2.373531423887426e-12,-6.603000978264036,0.0,18.142093770205292,-28.656912611716997,4.865555843099211,2.9443176468020147e-10,-0.9537379801459748
0.465,-1.4694830379001333,-0.9298310409645503,2.7174892783329496,2.5651954982377783,0.0037982807354031045,-7.513849169298287,52.225499957194565,85.8930085083575,-1.896466703455219e-12,-6.434409531962826,0.0,17.49018659840553,-28.25346901134386,5.255613388118878,2.362414700926817e-10,-0.9267405073796144
0.47000000000000003,-1.4723106406507778,-0.9330504753435419,2.779743055251131,2.5504536670817197,0.003782134625594836,-7.545607087840859,51.164253217458274,84.39452745577171,-1.5145786251238812e-12,-6.269340434999885,0.0,16.858309387208877,-27.863240662055208,5.634711554544225,1.8961150109175347e-10,-0.8991207148873901
