scenario,pressure_cap,host_stiffness_control,velocity_step,points,max_action_hessian_error,max_normalized_action_hessian_error,min_radial_kinetic,max_radial_kinetic,min_angular_kinetic,negative_radial_kinetic_points,negative_angular_kinetic_points,positive_definite_kinetic_points,full_material_candidate_pass
high_preload_counterflow,0.5,mixed,0.04,2049,1.8735013540549517e-16,3.708834647984917e-15,-0.022340364010961757,-1.3385224057753028e-06,-0.0006483925510087505,2049,1188,0,False
high_preload_counterflow,0.5,mixed,0.02,2049,1.4224732503009818e-16,4.068840624855948e-15,-0.022340364010961827,-1.3385224057735383e-06,-0.0006483925510087518,2049,1188,0,False
high_preload_counterflow,0.5,mixed,0.01,2049,1.942890293094024e-16,4.0023097431547275e-15,-0.022340364010961778,-1.3385224057738913e-06,-0.0006483925510087491,2049,1188,0,False
high_preload_counterflow,1.0,zero,0.04,2049,4.85722573273506e-17,1.431349121014227e-15,-0.022340364010961827,-1.338522405775028e-06,-0.0006483925510087509,2049,1188,0,False
high_preload_counterflow,1.0,zero,0.02,2049,4.85722573273506e-17,1.5649387018676724e-15,-0.02234036401096184,-1.338522405775028e-06,-0.0006483925510087505,2049,1188,0,False
high_preload_counterflow,1.0,zero,0.01,2049,5.204170427930421e-17,1.660775592379961e-15,-0.022340364010961778,-1.3385224057750274e-06,-0.0006483925510087502,2049,1188,0,False
high_preload_counterflow,1.0,positive,0.04,2049,5.898059818321144e-17,1.6207445820424587e-15,-0.022340364010961827,-1.3385224057750274e-06,-0.000648392551008751,2049,1188,0,False
high_preload_counterflow,1.0,positive,0.02,2049,5.551115123125783e-17,1.5649387018676724e-15,-0.022340364010961834,-1.338522405775028e-06,-0.0006483925510087503,2049,1188,0,False
high_preload_counterflow,1.0,positive,0.01,2049,6.245004513516506e-17,1.867386173261461e-15,-0.02234036401096179,-1.3385224057750274e-06,-0.0006483925510087503,2049,1188,0,False
high_preload_counterflow,1.0,mixed,0.04,2049,5.898059818321144e-17,1.6207445820424587e-15,-0.022340364010961827,-1.3385224057750274e-06,-0.0006483925510087506,2049,1188,0,False
high_preload_counterflow,1.0,mixed,0.02,2049,5.551115123125783e-17,1.5649387018676724e-15,-0.022340364010961834,-1.338522405775028e-06,-0.0006483925510087507,2049,1188,0,False
high_preload_counterflow,1.0,mixed,0.01,2049,6.245004513516506e-17,1.867386173261461e-15,-0.02234036401096179,-1.3385224057750274e-06,-0.0006483925510087498,2049,1188,0,False
