scenario,preload_fraction,initial_drift,points,pressure_cap,family,feasible_points,infeasible_points,all_points_algebraically_feasible,min_support_radial_enthalpy,max_support_radial_enthalpy,min_support_angular_enthalpy,negative_support_radial_points,negative_support_angular_points,max_normalized_tensor_error,minimum_host_margin,initial_ordinary_coordinate_mass,reference_coordinate_mass,reference_proper_energy,complete_material_candidate_pass,host_coordinate_mass,host_proper_energy,vacuum_coordinate_mass,vacuum_proper_energy,support_coordinate_mass,support_proper_energy,max_host_required_static_force,max_vacuum_required_static_force,max_ordinary_required_static_force,max_total_required_static_force,force_sum_identity_error,closed_form_weight_error,inner_pressure_matching_error,inner_normal_acceleration_matching_error,outer_pressure_matching_error,outer_normal_acceleration_matching_error
low_preload_counterflow,0.01,0.04,513,1.0,radial_only,98,415,False,-0.022231606093193905,-1.3385063529040842e-06,-0.00038433028621269005,513,292,1.5671925565251998e-16,-8.673617379884035e-19,0.007686392008042855,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
low_preload_counterflow,0.01,0.04,513,1.0,two_orientations,513,0,True,-0.022231606093193905,-1.3385063529040842e-06,-0.00038433028621269005,513,292,2.1941018541445324e-16,-2.7755575615628914e-17,0.007686392008042855,-0.829940676517362,43.35437612884015,False,4.819198041305742,54.22118781386677,-5.656825109831146,-10.878436974104636,-0.8376270685254048,43.34275083976214,0.1615098383317901,0.16151016732184692,6.555254548584399e-06,3.793483653150263e-06,5.897979350191155e-16,6.938893903907228e-18,0.0,0.0,0.0,0.0
low_preload_counterflow,0.01,0.04,513,0.5,radial_only,95,418,False,-0.022231606093193905,-1.3385063529040842e-06,-0.00038433028621269005,513,292,1.5671925565251998e-16,-8.673617379884035e-19,0.007686392008042855,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
low_preload_counterflow,0.01,0.04,513,0.5,two_orientations,513,0,True,-0.022231606093193905,-1.3385063529040842e-06,-0.00038433028621269005,513,292,5.555064631782411e-16,-8.326672684688674e-17,0.007686392008042855,-0.829940676517362,43.35437612884015,False,18.213620303859408,86.97748084951617,-19.051247372384815,-43.63473000975404,-0.8376270685254048,43.34275083976214,0.3612297457273223,0.36123545592051387,6.555254548584399e-06,3.793483653150263e-06,1.3508111659990546e-15,,0.0,0.0,0.0,0.0
low_preload_counterflow,0.01,0.04,1025,1.0,radial_only,196,829,False,-0.022231606093193905,-1.3385063529040842e-06,-0.0003843995971930848,1025,583,1.5672760186865642e-16,-1.734723475976807e-18,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
low_preload_counterflow,0.01,0.04,1025,1.0,two_orientations,1025,0,True,-0.022231606093193905,-1.3385063529040842e-06,-0.0003843995971930848,1025,583,2.1941018541445324e-16,-2.7755575615628914e-17,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,4.819038592762169,54.22048977116649,-5.656665660990941,-10.877744321644153,-0.8376270682287734,43.342745449522326,0.1625497594545929,0.16255169810706255,6.555254547132128e-06,3.7387630223447547e-06,1.1714029438559138e-15,6.938893903907228e-18,0.0,0.0,0.0,0.0
low_preload_counterflow,0.01,0.04,1025,0.5,radial_only,190,835,False,-0.022231606093193905,-1.3385063529040842e-06,-0.0003843995971930848,1025,583,1.5671925565251998e-16,-8.673617379884035e-19,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
low_preload_counterflow,0.01,0.04,1025,0.5,two_orientations,1025,0,True,-0.022231606093193905,-1.3385063529040842e-06,-0.0003843995971930848,1025,583,5.630559000910608e-16,-8.326672684688674e-17,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,18.21344099187302,86.978151829531,-19.051068060101795,-43.63540638000867,-0.8376270682287734,43.342745449522326,0.3625104984812579,0.3625140850733692,6.555254547132128e-06,3.7387630223447547e-06,2.58586792115708e-15,,0.0,0.0,0.0,0.0
low_preload_counterflow,0.01,0.04,2049,1.0,radial_only,391,1658,False,-0.022231704375160772,-1.3384998469416487e-06,-0.0003843995971930848,2049,1165,1.5672760186865642e-16,-1.734723475976807e-18,0.007686392008042856,-0.8299406760788179,43.35437039828398,False,,,,,,,,,,,,,,,,
low_preload_counterflow,0.01,0.04,2049,1.0,two_orientations,2049,0,True,-0.022231704375160772,-1.3384998469416487e-06,-0.0003843995971930848,2049,1165,2.1941018541445324e-16,-2.7755575615628914e-17,0.007686392008042856,-0.8299406760788179,43.35437039828398,False,4.819213029187677,54.2207569824448,-5.656840097274536,-10.878011873238783,-0.8376270680868607,43.342745109206,0.16433671977288647,0.16433701457084743,6.5552545470415285e-06,1.9391737208651954e-06,3.3091138853128606e-15,6.938893903907228e-18,0.0,0.0,0.0,0.0
