beta,B,normalization,stretch,carrier_energy_over_bare_tension,tension_over_energy,target_fermi_momentum_over_bulk_mass,fermi_momentum_over_eta,required_yukawa_g,yukawa_loop_size_g2_over_16pi2,escape_ratio_squared_times_yukawa_loop_size,gauge_coupling,scalar_self_coupling,scalar_quartic_loop_size_g4_over_16pi2,quartic_loop_size_over_scalar_self_coupling,bulk_fermion_mass_over_vector_mass,bulk_fermion_mass_over_higgs_mass,fermion_asymptotic_tail_over_vector_length,fermion_asymptotic_tail_over_higgs_length
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.1,0.9066720968823657,9.066720968823656,0.5205719613077472,0.005205719613077473,1.0,1e-12,42.79384147053054,42793841470530.54,9.066720968823656,9066720.968823656,0.11029345707654914,1.1029345707654914e-07
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.5616778306921606,0.5616778306921606,0.00199781301173676,0.00199781301173676,0.1,3.1622776601683796e-14,0.0006302740155825704,19931014392.613792,5.6167783069216055,3158546.556414701,0.17803800423593202,3.1660131713718046e-07
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.5616778306921606,0.5616778306921606,0.00199781301173676,0.00199781301173676,0.3,2.8460498941515417e-13,0.0006302740155825704,2214557154.7348657,1.8722594356405353,1052848.8521382338,0.534114012707796,9.498039514115413e-07
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.5616778306921606,0.5616778306921606,0.00199781301173676,0.00199781301173676,1.0,3.1622776601683794e-12,0.0006302740155825704,199310143.92613792,0.5616778306921606,315854.6556414701,1.7803800423593203,3.1660131713718046e-06
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.5616778306921606,1.1233556613843212,0.00799125204694704,0.00199781301173676,0.1,3.1622776601683796e-14,0.010084384249321126,318896230281.8207,11.233556613843211,6317093.112829402,0.08901900211796601,1.5830065856859023e-07
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.5616778306921606,1.1233556613843212,0.00799125204694704,0.00199781301173676,0.3,2.8460498941515417e-13,0.010084384249321126,35432914475.75785,3.7445188712810706,2105697.7042764677,0.267057006353898,4.7490197570577063e-07
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.5616778306921606,1.1233556613843212,0.00799125204694704,0.00199781301173676,1.0,3.1622776601683794e-12,0.010084384249321126,3188962302.818207,1.1233556613843212,631709.3112829402,0.8901900211796602,1.5830065856859023e-06
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.5616778306921606,1.8722594356405353,0.02219792235263067,0.00199781301173676,0.1,3.1622776601683796e-14,0.07781160686204572,2460619060816.517,18.722594356405352,10528488.521382336,0.05341140127077961,9.498039514115415e-08
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.5616778306921606,1.8722594356405353,0.02219792235263067,0.00199781301173676,0.3,2.8460498941515417e-13,0.07781160686204572,273402117868.50192,6.240864785468451,3509496.1737941126,0.16023420381233883,2.849411854234624e-07
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.5616778306921606,1.8722594356405353,0.02219792235263067,0.00199781301173676,1.0,3.1622776601683794e-12,0.07781160686204572,24606190608.165173,1.8722594356405353,1052848.8521382336,0.5341140127077961,9.498039514115414e-07
3.1622776601683794e-12,0.0871327447137449,canonical_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.1,0.5616778306921606,5.6167783069216055,0.19978130117367598,0.00199781301173676,0.1,3.1622776601683796e-14,6.302740155825701,199310143926137.8,56.16778306921605,31585465.564147007,0.017803800423593204,3.166013171371805e-08
