amplitude,presheath,s,z,crossings,width
flat_lapse_1,8.0,0.8,1.8,1,0.0
flat_lapse_1,8.0,-0.1,0.5,1,0.0
flat_lapse_1,8.0,-1.1,-1.6,1,0.0
flat_lapse_1,8.0,0.5,1.6,1,0.0
flat_lapse_1,8.0,0.7,1.8,1,0.0
flat_lapse_1,8.0,-1.3,-2.0,1,0.0
flat_lapse_1,8.0,0.6,1.7,1,0.0
flat_lapse_1,8.0,-0.6,-0.7,1,0.0
flat_lapse_1,8.0,0.1,0.8,1,0.0
flat_lapse_1,8.0,-0.4,-0.1,1,0.0
flat_lapse_1,8.0,-0.9,-1.3,1,0.0
flat_lapse_1,8.0,0.7,1.7,1,0.0
flat_lapse_1,8.0,0.8,1.9,1,0.0
flat_lapse_1,8.0,-0.0,0.7,1,0.0
flat_lapse_1,8.0,-1.0,-1.4,1,0.0
flat_lapse_1,8.0,-2.5,-3.1,1,0.0
flat_lapse_1,8.0,-3.5,-4.0,1,0.0
flat_lapse_1,8.0,-1.5,-2.2,1,0.0
flat_lapse_1,8.0,-3.8,-4.2,1,0.0
flat_lapse_1,8.0,0.3,2.7,1,0.0
flat_lapse_1,8.0,0.9,1.9,1,0.0
flat_lapse_1,8.0,-3.8,-4.3,1,0.0
flat_lapse_1,8.0,-2.4,-3.0,1,0.0
flat_lapse_1,8.0,-3.4,-3.9,1,0.0
flat_lapse_1,8.0,-1.4,-2.1,1,0.0
flat_lapse_1,8.0,-0.5,-0.3,1,0.0
flat_lapse_1,8.0,-3.9,-4.3,1,0.0
flat_lapse_1,8.0,-2.3,-2.9,1,0.0
flat_lapse_1,8.0,-3.3,-3.8,1,0.0
flat_lapse_1,8.0,-0.7,0.6,1,0.0
flat_lapse_1,8.0,-3.2,-3.7,1,0.0
flat_lapse_1,8.0,-2.2,-2.8,1,0.0
flat_lapse_1,8.0,0.6,1.6,1,0.0
flat_lapse_1,8.0,-0.9,-1.1,1,0.0
flat_lapse_1,8.0,0.1,1.0,1,0.0
flat_lapse_1,8.0,-3.1,-3.6,1,0.0
flat_lapse_1,8.0,-2.1,-2.7,1,0.0
flat_lapse_1,8.0,-0.8,-0.9,1,0.0
flat_lapse_1,8.0,-2.2,-2.9,1,0.0
flat_lapse_1,8.0,-3.2,-3.8,1,0.0
flat_lapse_1,8.0,0.9,2.0,1,0.0
flat_lapse_1,8.0,0.5,1.5,1,0.0
flat_lapse_6,3.0,-1.8,-2.5,1,0.0
flat_lapse_6,3.0,-2.1,-2.8,1,0.0
flat_lapse_6,3.0,0.3,1.3,1,0.0020010000000008077
flat_lapse_6,3.0,0.5,1.6,1,0.0020010000000008077
flat_lapse_6,3.0,-3.7,-4.2,1,0.0
flat_lapse_6,3.0,-3.3,-2.4,1,0.0
flat_lapse_6,3.0,-3.5,-4.0,1,0.0
