family,speed,decel,label,launch,zeta0,r0,angle_deg,far_plane,exterior_light_arrival,anec,anec_compartment,anec_hole_boundary,anec_shift_region,anec_pattern_lapse,anec_cone,anec_flat,lowest_partial,most_negative_integrand,far_plane_arrival,final_energy
departure,10.0,30.0,departure_2,0.0,0.0,0.0,2.0,302.0,302.0,4.961038290495649,0.0,4.961038290495649,0.0,0.0,0.0,0.0,0.0,0.0,,1.000000022768915
departure,10.0,30.0,departure_5,0.0,0.0,0.0,5.0,302.0,302.0,6.937807092059428,0.0,6.937807092059428,0.0,0.0,0.0,0.0,0.0,0.0,,0.8201801360024511
departure,10.0,30.0,departure_10,0.0,0.0,0.0,10.0,302.0,302.0,3.9377986152290667,0.0,3.9377986152290667,0.0,0.0,0.0,0.0,0.0,0.0,35.976000000000035,1.0000002191850073
departure,10.0,30.0,departure_20,0.0,0.0,0.0,20.0,302.0,302.0,7.2019830906466185,0.0,7.2019830906466185,0.0,0.0,0.0,0.0,0.0,0.0,40.28400000000004,1.0000292123182046
departure,10.0,30.0,departure_45,0.0,0.0,0.0,45.0,302.0,302.0,8.130973277020582,0.0,8.130973277020582,0.0,0.0,0.0,0.0,0.0,0.0,37.452000000000034,0.782280824360306
departure,10.0,30.0,departure_90,0.0,0.0,0.0,90.0,302.0,302.0,0.027868644261383014,0.0,0.03340846210905023,4.713190614883437e-05,-0.0055869497538160486,0.0,0.0,0.0,-0.030111711953259672,,1.4434768792186934
departure,10.0,30.0,departure_135,0.0,0.0,0.0,135.0,302.0,302.0,8.130973310721192,0.0,8.130973310721192,0.0,0.0,0.0,0.0,0.0,0.0,,0.7822808875616237
departure,10.0,30.0,departure_180,0.0,0.0,0.0,180.0,302.0,302.0,1.315801975045031e-30,0.0,4.666223757691213e-31,1.4665812855942027e-31,7.0252147071648945e-31,0.0,0.0,0.0,0.0,,0.09098811717861292
crossing,10.0,30.0,against_axis,3.0,266.9494749456842,0.0,180.0,302.0,,-1.8976721620006334,0.0,7.580307545321321e-25,1.459601574133165e-25,-2.348303169217272e-24,-1.8976721620006334,0.0,-1.8976721620006334,-1.654067587466968,,1.0000000114582386
crossing,10.0,30.0,against_r3,3.0,266.9494749456842,3.0,180.0,302.0,,0.225745680130615,0.0,0.0,0.0,0.0,0.225745680130615,0.0,0.0,0.0,,1.9514537873091633
crossing,10.0,30.0,overtaken_axis,3.0,266.9494749456842,0.0,0.0,302.0,,-125589530958.05046,0.0,0.0,0.0,0.0,-125589530958.05046,0.0,-125589530958.05046,-101170309740.66574,7.8080000000000105,42951505137.02267
crossing,10.0,30.0,overtaken_r1,3.0,266.9494749456842,1.0,0.0,302.0,,0.16902885207933244,0.0,0.0,0.0,0.0,0.16902885207933244,0.0,0.0,-2.0237662899187368e-50,22.036000000000023,1.9226721848351418
crossing,10.0,30.0,overtaken_r6,3.0,266.9494749456842,6.0,0.0,302.0,,0.2312453604586106,0.0,0.0,0.0,0.0,0.2312453604586106,0.0,0.0,-5.297098755795214e-54,15.552000000000017,1.7602291802301744
crossing,10.0,30.0,side_at_packet,3.0,130.0,13.0,-90.0,302.0,,-0.01938309729468384,0.0,0.0,0.0,0.0,-0.01938309729468384,0.0,-0.01938309729468384,-0.09355430919691805,,3.2173614497621115
crossing,10.0,30.0,side_at_shift,3.0,133.0,13.0,-90.0,302.0,,-0.019626003900325664,0.0,0.0,0.0,0.0,-0.019626003900325664,0.0,-0.019626003900325664,-0.0926041766819112,,3.222705103313659
crossing,10.0,30.0,side_at_cone,3.0,211.4747374728421,13.0,-90.0,302.0,,-0.028259080253169238,0.0,0.0,0.0,0.0,-0.028259080253169238,0.0,-0.028259080253169238,-0.09692470331177404,,3.276784969883999
crossing,10.0,30.0,behind_forward,3.0,-20.0,0.0,0.0,302.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.4598218124597115e-15
