width,angular_index,wave_number,k_radius,k_width,scale_window,normal_frequency_squared,growth_rate,required_bending_coefficient,required_bending_to_sigma_width_squared
0.1,18,2.7195944130745486,18.49324200890693,0.27195944130745486,False,-1.2899509675372642,1.1357600836168105,6.0371302069405705e-05,2.35806971875774
0.1,19,2.86670421906146,19.493588689617926,0.286670421906146,False,-1.4332788528191822,1.19719624657747,5.433417186246514e-05,2.122262746881966
0.1,20,3.0138090488116465,20.493901531919196,0.30138090488116465,False,-1.5841503110106747,1.2586303313565403,4.9159488827944656e-05,1.9201424852741602
0.1,21,3.1609095970889234,21.494185260204677,0.31609095970889234,False,-1.7425653421117426,1.3200626281020695,4.469044438904058e-05,1.7455840775219633
0.1,22,3.3080064350594096,22.494443758403985,0.33080064350594096,False,-1.9085239461223846,1.3814933753450953,4.080431878999359e-05,1.593794157737445
0.1,23,3.4551000366090383,23.49468024894146,0.34551000366090384,False,-2.0820261230426014,1.4429227709903956,3.740395889082746e-05,1.4609779779259913
0.1,24,3.602190798210556,24.49489742783178,0.3602190798210556,False,-2.263071872872393,1.504350980613365,3.441164217956126e-05,1.3440997396919119
0.1,25,3.7492790541123417,25.495097567963924,0.3749279054112342,False,-2.4516611956117584,1.5657781438031886,3.176459278113347e-05,1.2407074520233032
0.1,26,3.896365088085815,26.49528259898354,0.3896365088085815,False,-2.6477940912607,1.6272043790688064,2.9411659982530988e-05,1.148803196317873
0.1,27,4.043449142608094,27.495454169735037,0.40434491426080943,False,-2.851470559819215,1.688629787673786,2.731082712663592e-05,1.066745825152311
0.1,28,4.190531426110296,28.495613697550013,0.41905314261102966,False,-3.062690601287305,1.750054456663365,2.5427321807557577e-05,0.9931771475555998
0.1,29,4.337612118750772,29.495762407505246,0.4337612118750772,False,-3.2814542156649686,1.8114784612754766,2.373216702038708e-05,0.9269653377185599
0.1,30,4.484691377052031,30.49590136395381,0.44846913770520314,False,-3.507761402952208,1.8729018668772286,2.2201059470684687e-05,0.8671611223818786
0.1,31,4.631769337654006,31.49603149604724,0.46317693376540064,False,-3.7416121631490222,1.9343247305323432,2.081349325376689e-05,0.8129635522330113
0.1,32,4.778846120374094,32.49615361854384,0.47788461203740945,False,-3.9830064962554115,1.9957471022790967,1.955206942020526e-05,0.763693033915859
0.1,33,4.92592183071889,33.49626844888845,0.492592183071889,False,-4.231944402271374,2.057169026179272,1.8401947689604955e-05,0.7187699142737497
