time,steps,min_f,min_alpha,max_particle_speed,max_entropy_speed,max_relative_drift,min_rest_energy,min_entropy_creation,max_entropy_creation,particle_number,entropy,created_entropy,escaped_particles,escaped_entropy,particle_balance_relative_error,entropy_balance_relative_error,outer_mass_balance_error,max_current,max_mass_change,min_radial_discriminant,scenario,level,cells
1.8250000000000002,1454,7.776978708573523e-06,0.0015213162397686448,0.8005501647911967,0.8329749728695028,0.1812877494986969,4.297586134587774e-12,4.788246471727334e-22,1.0836990054308757e-06,0.309505116214532,0.7257163829034234,0.0008304345862682426,0.004965673420584417,0.02225310228179262,2.3553283876486823e-06,3.150821750303546e-06,-2.462497281086051e-07,0.0003769014934474458,0.012858134955665346,1.1853170844448142e-22,high_preload_slow_drag,3,1024
1.85,1474,7.776978708573523e-06,0.001518958218134045,0.8049764993655977,0.8323814384334675,0.18038113592036992,4.2975863935874536e-12,4.916126133713156e-22,1.0757284160677377e-06,0.30925185721135506,0.7247741475654941,0.0008462528894856947,0.005218977611567776,0.023211286200596908,2.499023491813026e-06,3.3251909895519684e-06,-2.585685365819046e-07,0.000387422663176006,0.013092700933572066,1.1853170842374467e-22,high_preload_slow_drag,3,1024
1.875,1494,7.776978708573523e-06,0.0015165518370376873,0.8092953369397539,0.8317760637536212,0.17947913679584102,4.29758665218902e-12,5.0454908859507735e-22,1.0674411006228684e-06,0.3089907660763233,0.7238113257570824,0.0008620483351262053,0.005480116206907378,0.024190039961712068,2.6499450438277306e-06,3.5078979341843523e-06,-2.7125907986480513e-07,0.00039800468634726774,0.013326268954147458,1.1853170840276807e-22,high_preload_slow_drag,3,1024
1.9000000000000001,1514,7.776978708573523e-06,0.0015140967075865852,0.813483918346562,0.8311588262612849,0.17858207365057924,4.297586910384173e-12,5.176328742766595e-22,1.0588525033016184e-06,0.30872182580912666,0.7228282200130415,0.0008778154490591853,0.0057491062557450436,0.02518905558873668,2.8082483264363243e-06,3.6989861932663456e-06,-2.845183704192067e-07,0.00040893982722578015,0.013558785558701159,1.1853174615421273e-22,high_preload_slow_drag,3,1024
1.925,1534,7.776978708573523e-06,0.001511592459048348,0.8175905692655326,0.8305297004566444,0.17769024466245098,4.297587168164531e-12,5.308627481098209e-22,1.0499834152699161e-06,0.30844502812295405,0.7218251534812271,0.0008935489153916498,0.0060259562160615955,0.026208004772697396,2.974477651396361e-06,3.898662925239275e-06,-2.981925474043745e-07,0.000419914979973899,0.013790199255080848,1.1853174613276235e-22,high_preload_slow_drag,3,1024
1.9500000000000002,1554,7.776978708573523e-06,0.001509038735218907,0.8215856017374236,0.8330719285175852,0.17680392400711484,4.297587425521655e-12,5.442374640719516e-22,1.0408556758966493e-06,0.3081603732880201,0.7208024694426647,0.0009092435770443148,0.006310665890860112,0.02724653959556377,3.1488658474125304e-06,4.107624219819021e-06,-3.1229399219401266e-07,0.0004312595365683911,0.014020461001778894,1.1853174611107813e-22,high_preload_slow_drag,3,1024
1.975,1574,7.776978708573523e-06,0.0015064351951767465,0.8254633262014855,0.8366228446044965,0.17592336129137992,4.297587682447053e-12,5.577557524351762e-22,1.0314885522980973e-06,0.307867870180699,0.7197605295184077,0.0009248944363342562,0.006603226384937215,0.028304293275855107,3.3313530388146234e-06,4.325652253047326e-06,-3.2702118088479004e-07,0.0004426607188519575,0.014249524181674411,1.1853178386182727e-22,high_preload_slow_drag,3,1024
2.0,1594,7.776978708573523e-06,0.001503781518993322,0.829264642429491,0.8400905232667697,0.17504878136882107,4.29758793893216e-12,5.714163198317483e-22,1.0218971501377919e-06,0.30756753673835024,0.7186997142908724,0.0009404966539132636,0.0069036200824092375,0.029380880934128287,3.5229615035318124e-06,4.5534728909476234e-06,-3.4207994017987353e-07,0.00045437785077796734,0.014477343867748016,1.1853178383968164e-22,high_preload_slow_drag,3,1024
2.025,1614,7.776978708573523e-06,0.001501077400706666,0.8329588800383544,0.8434726692403874,0.1741803840203482,4.297588194968373e-12,5.852178493312205e-22,1.0121043624812479e-06,0.30725939917405554,0.7176204213914219,0.0009560455491256101,0.00721182064512429,0.030475900376203777,3.72329352409509e-06,4.791243854980443e-06,-3.5766933201286655e-07,0.0004662274774331792,0.014703891578594808,1.1853182158997965e-22,high_preload_slow_drag,3,1024
2.0500000000000003,1634,7.776978708573523e-06,0.001498322553629673,0.8365497325618112,0.8467530058659591,0.17331834374725202,4.2975884505470325e-12,5.991590004950704e-22,1.0021277570751722e-06,0.3069434927712315,0.7165230651706227,0.0009715365991138907,0.007527793032395667,0.03158893289206175,3.933120970523782e-06,5.039183852328723e-06,-3.738455457702461e-07,0.0004782894954386799,0.014929136195266812,1.185318215673812e-22,high_preload_slow_drag,3,1024
