regulator,proper,coordinate,radius,lapse,rho,pr,pt,polarization,radial_enthalpy,radial_enthalpy_tail,required_radial_enthalpy
4.0,-173.1022940685702,-2.997745538306068,3.5332227343709355,0.8714494687524383,-0.013458172215911411,0.015188907720522756,0.012062064647782766,0.02361307172774592,0.0017307355046113446,-8.97761418528599e-08,-0.009626573942122584
4.0,-172.9772955655867,-2.876601976080703,3.4464973022409313,0.8888247362758606,-0.01261227422356367,0.015333153040624973,0.010840405978230966,0.023065559137595563,0.002720878817061302,-6.887292048961669e-08,-0.012159554145748427
4.0,-172.84229718236452,-2.7499054607485776,3.3597772095149927,0.9191337695715558,-0.011769671493501142,0.015489137091647655,0.00957130415263708,0.022579647722318515,0.003719465598146513,-5.8003466325648927e-08,-0.015068136658672245
4.0,-172.70229885902296,-2.626250128455597,3.2784880709640305,0.9679042766346562,-0.011193153899746075,0.015595304479834619,0.008543608201366772,0.022279772747368965,0.004402150580088544,-6.90759286779318e-08,-0.017711459826462467
4.0,-172.54230077520407,-2.499432961042171,3.1973221916610366,1.051399238329929,-0.011120068101341179,0.015593164874376515,0.007990982376245884,0.022280326694468774,0.0044730967730353365,-1.0535295211609771e-07,-0.019427677092836514
4.0,-172.35230305066915,-2.373817113986108,3.117471587324618,1.196111961412218,-0.01185219447420985,0.015443293371894222,0.008337111097367086,0.022789503000508405,0.003591098897684372,-1.9853629205190096e-07,-0.01898892548399175
4.0,-172.10730598482147,-2.2505653483428754,3.0385560965458,1.4596360602434018,-0.013519698124300789,0.015236699680999648,0.010022278426284194,0.024072889731236162,0.0017170015566988599,-3.124178745174526e-07,-0.015394145640855478
4.0,-171.7423103561096,-2.1249908172390675,2.9583676510791124,1.98797410457327,-0.01556068111384012,0.015262510090143346,0.01300897497929445,0.02637793316087229,-0.00029817102369677356,-4.554336228499207e-07,-0.00914198515099049
4.0,-171.15731736214678,-2.0003203135063727,2.8809310391007013,3.0246017796075155,-0.016025649825562573,0.015560424765810436,0.014881357791997542,0.029034268612697502,-0.00046522505975213693,-5.4723318489673e-07,-0.00386697686914161
4.0,-168.39235047615156,-1.7498795144559078,2.731206044732193,8.35373655693861,-0.01568408497622283,0.01571377180096003,0.015052870290661886,0.032312152149358314,2.9686824737199663e-05,-5.359007392769676e-07,-0.0004347791122393729
4.0,-160.93743975821505,-1.4999670562006733,2.5849769585616356,21.14275672231602,-0.01577227767941772,0.015777676788787116,0.01501659221394928,0.03464905779834178,5.399109369395166e-06,-4.802068792836001e-07,-5.8403120978061177e-05
4.0,-146.09261754389348,-1.2500219686799263,2.443638176081479,42.89916189965026,-0.01586562940852019,0.015866800277550778,0.01500655885009334,0.03692083746746164,1.1708690305888003e-06,-4.398185002738773e-07,-1.3375077798917848e-05
4.0,-123.94288281521558,-1.0000024773241791,2.313061156090115,62.984149872989924,-0.01596665966023515,0.015966885113616183,0.014996882396566503,0.03872869879118529,2.2545338103363566e-07,-3.7941674954996934e-07,-3.557564103877711e-06
4.0,-96.49321156003688,-0.7499985087167038,2.200599724469032,65.52496520226947,-0.016069062711774846,0.01606923813742543,0.014983102457145141,0.03979874389391845,1.7542565058578652e-07,-3.629384365055709e-07,-1.3999927156397446e-06
4.0,-65.77857940692894,-0.4999852136811012,2.1136100817867525,64.59510569041073,-0.016160751846361596,0.016160928761633834,0.014972569659053896,0.04058838192310794,1.7691527223751002e-07,-3.3026724633952476e-07,-1.3710532749486998e-06
4.0,-33.263968810858444,-0.24998347195649784,2.0584752809282962,66.00548907771466,-0.01622550453129708,0.01622561068965923,0.014965276134071627,0.04107722123129722,1.0615836214949992e-07,-3.45782279548769e-07,-1.3519526943627652e-06
4.0,0.000632803113120417,4.7936122338314805e-06,2.0395751058045826,69.34355534471875,-0.016248574785646133,0.01624911479339586,0.014958252859992653,0.04103602899053901,5.400077497282052e-07,-3.0581098253675136e-07,-1.3640135694131805e-06
4.0,28.200295076192873,0.2499939621769486,2.0584841472051334,81.05039437439602,-0.016235555291945595,0.01622520354619901,0.015070136167480742,0.04095355730247569,-1.0351745746584734e-05,-3.2444529899177003e-07,-1.5389080998694932e-05
4.0,35.750204656396846,0.5000506540300861,2.114550409321172,11.224474613328391,-0.015577801104202716,0.015876293970849175,0.012429957068301268,0.031960313431474235,0.0002984928666464586,-3.498527043122516e-07,-0.0018449526052707506
4.0,37.215187111363605,0.750214046657814,2.201153821870974,7.79728311729152,-0.016062433173708677,0.01589576094002599,0.013146461291482465,0.03000374160954447,-0.00016667223368268744,-3.295317763423983e-07,-0.00033313416160308043
4.0,38.64516998549493,1.0001730594058342,2.311981845376842,13.49903389506033,-0.015830029938959905,0.015443968075539279,0.013027685032506857,0.03188914496101517,-0.0003860618634206267,-4.0730584636182297e-07,0.0024158116435656204
4.0,44.49509992512316,1.2500024700411145,2.443597695950253,59.39167562365832,-0.01588729838622351,0.01586411802883542,0.015235239079077503,0.03681911460255845,-2.318035738808899e-05,-4.357909667905641e-07,3.0613118594280744e-05
4.0,57.34994597194731,1.4999723504945113,2.5849784727112834,21.905529480293296,-0.01576962775058574,0.01577840146089797,0.014972419081939815,0.03331138002348718,8.773710312229288e-06,-4.943703569244527e-07,-6.407145442592285e-05
4.0,64.80485668988382,1.7499763523056564,2.731263295909899,8.351308097072472,-0.015703294301545226,0.015709398600842018,0.015071567608442566,0.03033209703527129,6.104299296792043e-06,-5.308084943586568e-07,-0.00043516610699531697
4.0,67.5648236357597,1.9996947936057454,2.8805492231280816,3.0316885939687004,-0.014151279422010579,0.012331878698159092,0.012511812212844439,0.021968629258212375,-0.0018194007238514862,-5.462337845232566e-07,-0.00384777475845396
4.0,68.15481656984184,2.125327996096607,2.958580721555958,1.9860066932960565,-0.008999533630956923,0.007380302533694151,0.005857359480647883,0.01450650849749082,-0.0016192310972627712,-4.588890468661747e-07,-0.009159317974674081
4.0,68.51481225843435,2.2489544604405074,3.0375218826843065,1.464352408078502,-0.0037150211524313564,0.004001324486926011,0.0003994760768354479,0.008865029699227532,0.00028630333449465497,-3.2157337400963606e-07,-0.015325493751340088
4.0,68.76480926440138,2.3745322906184003,3.117927487523729,1.1950189215762834,-0.0005904131184241855,0.002312880557735812,-0.0018418652882159596,0.005341233915491889,0.0017224674393116267,-1.9438266690022729e-07,-0.018999907607643134
4.0,68.9548069889363,2.500327123898645,3.1978905388892263,1.0506385457606628,0.0008047507048217421,0.0014988188150338996,-0.002283199465380489,0.003266833968221805,0.0023035695198556417,-1.0833922420687818e-07,-0.019421618161047826
4.0,69.10980513263587,2.623053455426725,3.276421213334664,0.9695139132649329,0.001293857292499032,0.0010687501262198209,-0.0021047929265756793,0.002045238402586635,0.002362607418718853,-7.231219424381754e-08,-0.017771186266475753
